ordinal	view	build	shoulderHip	waist	evidence
0	detail	?	?	?	Isolated brown checked blazer product.
1	detail	?	?	?	Checked fabric swatch closeup.
2	detail	?	?	?	Isolated dark blazer product.
3	detail	?	?	?	Button and fabric detail.
4	detail	?	?	?	Isolated checked jacket product.
5	detail	?	?	?	Lapel and lining closeup without wearer.
6	detail	?	?	?	Isolated taupe jacket product.
7	partial	?	?	?	Taupe blazer, cream knit over collared shirt and cream trousers; masculine tailoring. Structured layered torso and covered limbs leave body axes unknown.
8	partial	?	?	?	Dark blazer over cream hoodie and gray trousers; masculine casual tailoring. Thick layered torso, angled stance and cropped legs conceal body contours.
9	reject	?	?	?	Alternate pose of the same blazer and hoodie ensemble at 8.
10	detail	?	?	?	Isolated gray knit product.
11	detail	?	?	?	Knit neckline closeup without wearer.
