ordinal	view	build	shoulderHip	waist	evidence
0	detail	?	?	?	Flat garment product photograph without wearer; excluded.
1	back	?	?	?	Rear trouser detail with shoulders cropped; no front outfit or supported body axes.
2	detail	?	?	?	Flat garment product photograph without wearer; excluded.
3	back	?	?	?	Rear trouser detail with shoulders cropped; no front outfit or supported body axes.
4	detail	?	?	?	Flat garment product photograph without wearer; excluded.
5	back	?	?	?	Rear trouser detail with shoulders cropped; no front outfit or supported body axes.
6	detail	?	?	?	Flat garment product photograph without wearer; excluded.
7	back	?	?	?	Rear trouser detail with shoulders cropped; no front outfit or supported body axes.
8	detail	?	?	?	Flat garment product photograph without wearer; excluded.
9	back	?	?	?	Rear trouser detail with shoulders cropped; no front outfit or supported body axes.
10	detail	?	?	?	Flat garment product photograph without wearer; excluded.
11	back	?	?	?	Rear trouser detail with shoulders cropped; no front outfit or supported body axes.
12	detail	?	?	?	Flat garment product photograph without wearer; excluded.
13	full	?	?	?	Gray crewneck with wide black trousers; loose sleeves torso and hips obscure body axes; neutral styling.
14	detail	?	?	?	Flat garment product photograph without wearer; excluded.
15	reject	?	?	?	Repeated crewneck and trouser ensemble colorway relative to 13; excluded to avoid padding.
16	detail	?	?	?	Flat garment product photograph without wearer; excluded.
17	full	1.5	?	?	Black crewneck olive shorts socks and dark shoes; visible legs and overall frame support smaller-middle apparent build; loose torso and shorts conceal waist and hip balance.
18	detail	?	?	?	Flat garment product photograph without wearer; excluded.
19	back	?	?	?	Rear trouser detail with shoulders cropped; no front outfit or supported body axes.
20	detail	?	?	?	Flat garment product photograph without wearer; excluded.
21	back	?	?	?	Rear trouser detail with shoulders cropped; no front outfit or supported body axes.
22	detail	?	?	?	Flat garment product photograph without wearer; excluded.
23	back	?	?	?	Rear trouser detail with shoulders cropped; no front outfit or supported body axes.
