ordinal	view	build	shoulderHip	waist	evidence
0	reject	?	?	?	Pale checked shirt with navy trousers repeats existing fitted shirt and trouser styling; compared against all 28 earlier State and Liberty admissions.
1	reject	?	?	?	Full-length alternate pose of 0; same checked shirt ensemble.
2	reject	?	?	?	Grey windowpane shirt and dark trousers are another minor checked-shirt variant of existing ensembles.
3	reject	?	?	?	Full-length alternate pose of 2; same checked-shirt variant.
4	reject	?	?	?	Blue fitted shirt and navy trousers repeat earlier blue shirt styling; changed windowpane pattern does not justify another admission.
5	reject	?	?	?	Full-length alternate view of 4; same blue shirt ensemble.
6	reject	?	?	?	Grey shirt and dark trousers repeat existing fitted shirt colorways; no distinct outfit construction.
7	reject	?	?	?	Cuff-adjustment pose of 6; repeated ensemble.
8	reject	?	?	?	Blue windowpane shirt and navy trousers repeat existing light-blue fitted shirt ensembles.
9	reject	?	?	?	Side crop of 8; repeated checked shirt.
10	full	3	?	?	Black fitted shift dress over white blouse with leopard belt, dark tights and heels; feminine dress ensemble. Enlarged original supports fuller torso and legs; raised arm, puffed sleeve and belt prevent reliable shoulder and natural-waist observations.
11	reject	?	?	?	Alternate walking pose of the same black shift dress and red bag at 10.
12	full	2.5	?	?	Black flared pinafore over white ruffled blouse, tights and flats; feminine dress ensemble. Enlarged view supports moderately fuller arms and legs. Raised arm and flared skirt obscure shoulder-to-hip and waist axes.
13	reject	?	?	?	Alternate leaning pose of black pinafore ensemble at 12.
14	partial	3	?	?	Dark celestial blouse with corset-style wide belt and black skirt; feminine separates. Fuller arms and torso visible; angled pose and shaped belt obscure natural contour axes.
15	full	1.5	?	?	Celestial blouse with short pleated skirt, mustard tights and tall white heeled boots; distinct feminine ensemble. Lean legs and arms visible; hip-hand pose and flared skirt obscure other axes.
16	partial	2.5	?	?	Aqua geometric blouse tucked into fitted black skirt; feminine separates. Enlarged original supports moderately fuller torso and arms; three-quarter pose and hair across shoulder obscure shoulder balance and natural waist.
17	full	3	?	?	Aqua geometric blouse with grey skirt, dark long coat, tights and loafers; distinct feminine skirt ensemble. Fuller legs and forearm visible; coat and skirt obscure contour axes.
18	full	?	?	?	Blue striped collared shirt and tie with olive tailored trousers, draped knit and cap; masculine tailoring ensemble. Enlarged original shows loose layers across shoulders, torso and legs, leaving build and contour axes unsupported.
19	reject	?	?	?	Alternate bent-leg pose of the same tie and olive trouser ensemble at 18.
20	reject	?	?	?	Closer crop of star-print blouse and short black skirt; retain full outfit at 21.
21	full	1.5	?	?	Star-print collared blouse with short flared black skirt and pale heeled shoes; feminine separates. Lean arms and legs visible, but belted waist, angled posture and flared skirt obscure natural contours.
