ordinal	view	build	shoulderHip	waist	evidence
0	detail	?	?	?	Flat checked trousers without wearer.
1	detail	?	?	?	Close-up of checked trouser waistband and fly without wearer.
2	detail	?	?	?	Flat brown checked trousers without wearer.
3	detail	?	?	?	Brown checked trouser waistband detail without wearer.
4	detail	?	?	?	Flat grey checked trousers without wearer.
5	detail	?	?	?	Grey checked trouser waistband detail without wearer.
6	detail	?	?	?	Flat burgundy trousers without wearer.
7	detail	?	?	?	Burgundy trouser waistband detail without wearer.
8	detail	?	?	?	Flat navy trousers without wearer.
9	detail	?	?	?	Navy trouser waistband detail without wearer.
10	detail	?	?	?	Flat grey trousers without wearer.
11	detail	?	?	?	Grey trouser waistband detail without wearer.
