ordinal	view	build	shoulderHip	waist	evidence
0	detail	?	?	?	Isolated plaid vest; no wearer.
1	detail	?	?	?	Back of isolated plaid vest; no wearer.
2	detail	?	?	?	Flat striped-sleeve sweatshirt; no wearer.
3	detail	?	?	?	Sweatshirt neckline and label detail; no outfit.
4	detail	?	?	?	Flat striped chore jacket; no wearer.
5	detail	?	?	?	Striped jacket pocket closeup; no outfit.
6	detail	?	?	?	Isolated tan jacket; no wearer.
7	detail	?	?	?	Tan jacket pocket detail; no outfit.
8	detail	?	?	?	Isolated brown jacket; no wearer.
9	detail	?	?	?	Brown jacket pocket detail; no outfit.
10	detail	?	?	?	Isolated dark jacket; no wearer.
11	detail	?	?	?	Dark jacket pocket detail; no outfit.
