ordinal	view	build	shoulderHip	waist	evidence
0	partial	1.5	?	?	Navy relaxed tee and cuffed elastic-waist trousers; enlarged original shows lean forearms and ankles. Cropped shoulders, loose fabric and angled stance obscure contour axes. Neutral ensemble.
1	back	?	?	?	Rear view of navy trouser ensemble.
2	reject	?	?	?	Cropped repeat of peach tied-blouse and brown trouser ensemble; retain full view at 3.
3	full	1.5	?	?	Peach sleeveless tie-front blouse and flowing brown trousers; feminine separates. Enlarged original shows lean arms; knotted fabric and loose trousers obscure waist and hip contours.
4	reject	?	?	?	Workshop promotional collage with multiple small images and sewing diagrams.
5	seated	1.5	?	?	Cream linen tee and matching loose trousers in seated pose; enlarged original supports lean forearms, folded posture and loose garments obscure other axes. Neutral ensemble.
6	reject	?	?	?	Sewing workshop promotional collage with machinery, notions and cropped wearer.
7	reject	?	?	?	Cropped trouser promotional image with superimposed pattern drawing; repeated garment from 6.
8	detail	?	?	?	Blouse hanging without wearer.
9	detail	?	?	?	Garment label closeup.
