ordinal	view	build	shoulderHip	waist	presentation	evidence
0	back	?	?	?	U	Black bandeau and jeans from behind with arms raised; excluded.
1	partial	3	?	1	F	Enlarged black bandeau and black jeans ensemble; visible moderate waist indentation, but hands and pocket pose obscure hip width. Cropped fitted styling assessed together.
2	full	3	?	?	U	Yellow tank under open denim shirt with black cropped leggings; hands on hips and open layer hide body boundaries. Casual ensemble remains ambiguous.
3	reject	?	?	?	U	Red tank and black cropped leggings repeat the preceding basic tank-legging combination as a color variant; raised arm further obscures contours.
4	full	2.5	?	1	U	Enlarged fitted red scoop-neck long sleeves with black knee shorts; moderate waist indentation visible, hands in pockets obscure hip boundary. Neutral casual outfit.
5	back	?	?	?	U	Red long sleeves and black shorts from behind; excluded.
6	full	3	?	?	U	Enlarged rainbow collared shirt with close-fitting navy leggings; oblique torso and loose untucked shirt conceal waist and hips. Ensemble lacks enough consistent presentation cues.
7	full	3	?	1	U	Enlarged black tucked tee with high-waisted burgundy leggings; moderate waist indentation visible, hair and tilted stance prevent reliable shoulder-to-hip comparison. Neutral basics.
8	reject	?	?	?	U	Four-person leggings promotion; no single-person reference.
9	back	?	?	?	U	Black cropped tee and leggings from behind; excluded.
10	reject	?	?	?	U	Black tank with green-and-white wide printed trousers repeats the earlier admitted green printed trouser ensemble in comparison sheet ordinal 14.
11	detail	?	?	?	U	Green trouser waist and pocket close-up; upper outfit absent.
12	partial	3	?	?	F	Black cropped wrap V-neck top and green printed trousers; gathered trousers and hand in pocket conceal hip and waist boundaries. Wrap crop styling supports feminine separates.
13	reject	?	?	?	F	Black tied crop and same green printed trousers repeat ordinal 12 with a neckline variation and changed pose.
14	partial	3	?	?	D	Red-yellow patchwork box top with dark pleated skirt; loose box shape and flared skirt hide waist and hip contours.
15	detail	?	?	?	U	Black multicolor top shown in shoulder/chest detail crop; lower outfit absent.
