ordinal	view	build	shoulderHip	waist	evidence
0	detail	?	?	?	Unworn blue hoodie product photograph; no body.
1	detail	?	?	?	Fabric and hem label closeup; no outfit.
2	detail	?	?	?	Unworn yellow hoodie product photograph; no body.
3	detail	?	?	?	Yellow fabric and hem label closeup; no outfit.
4	detail	?	?	?	Folded denim and pocket label product image.
5	detail	?	?	?	Trouser-only crop from lower abdomen; shoulders and torso absent.
6	detail	?	?	?	Folded denim and pocket label product image.
7	reject	?	?	?	Repeats trouser-only dark denim pose and footwear of ordinal 5.
8	detail	?	?	?	Folded denim and pocket label product image.
9	detail	?	?	?	Folded denim and pocket label product image.
10	reject	?	?	?	Repeats cropped dark denim and black footwear ensemble of ordinal 5.
