ordinal	view	build	shoulderHip	waist	evidence
0	partial	1.5	?	?	Fitted scoop-neck ribbed top with pleated tan trousers; leaning stance and trouser pleats obscure hip and waist comparison, confirmed enlarged.
1	back	?	?	?	Rear ribbed-top view excluded.
2	full	1.5	?	?	Cream eyelet cardigan with loose patterned trousers and pointed flats; relaxed knit and trouser volume obscure contours.
3	detail	?	?	?	Shoulderless trouser detail repeats ordinal 2.
4	full	?	?	?	Long patterned coat over turtleneck and jeans with ankle boots; coat volume hides build and independent contours.
5	back	?	?	?	Rear patterned coat view excluded.
6	partial	?	?	?	Boxy grey jacket over brown short skirt; bulky jacket hides torso proportions.
7	detail	?	?	?	Close jacket lining detail excluded.
8	detail	?	?	?	Folded trousers without wearer excluded.
9	detail	?	?	?	Folded cream trousers without wearer excluded.
10	partial	2	?	?	Black zip jacket with jeans; neutral workwear styling and hands in pockets obscure waist and hips.
11	back	?	?	?	Rear black jacket view excluded.
12	detail	?	?	?	Shoulderless trouser crop excluded.
13	detail	?	?	?	Shoulderless blue trouser crop excluded.
14	reject	?	?	?	Red collared shirt variant of ordinal 15 with secondary person in background; repeated garment and scene excluded.
15	partial	2	?	?	Burgundy collared utility shirt and dark work trousers; loose shirt hem and crop obscure waist and hips, confirmed enlarged.
16	partial	2	?	?	Open dark denim utility shirt over cream henley and tan work trousers; angled stance and layers obscure contours, confirmed enlarged.
17	reject	?	?	?	Closed dark utility-shirt variant of ordinal 16; repeated garment styling and raised hands excluded.
18	detail	?	?	?	Shoulderless tan trouser crop excluded.
19	detail	?	?	?	Shoulderless jeans crop excluded.
20	detail	?	?	?	Shoulderless burgundy trouser crop excluded.
21	detail	?	?	?	Shoulderless olive trouser crop excluded.
