ordinal	view	build	shoulderHip	waist	presentation	evidence
0	detail	?	?	?	U	Flat dark tee product.
1	full	1.5	?	?	U	Dark tee, gray running shorts and trainers; loose tee hides waist and hips.
2	detail	?	?	?	U	Flat cream graphic tee product.
3	reject	?	?	?	U	Cream running tee and shorts repeats basic athletic ensemble from 1.
4	detail	?	?	?	U	Flat brown graphic tee product.
5	back	?	?	?	U	Rear brown tee and tan trousers.
6	back	?	?	?	U	Rear blue graphic tee.
7	reject	?	?	?	U	Blue tee and dark trousers; repeated basic tee variation, retain fuller 35.
8	detail	?	?	?	U	Flat olive graphic tee.
9	back	?	?	?	U	Rear olive tee and tan trousers.
10	detail	?	?	?	U	Flat dark graphic tee.
11	reject	?	?	?	U	Dark tee and tan trousers; repetitive basic tee variant, retain fuller 35.
12	detail	?	?	?	U	Flat teal graphic tee.
13	reject	?	?	?	U	Teal tee and tan trousers repeats basic tee ensemble.
14	back	?	?	?	U	Rear white graphic tee.
15	reject	?	?	?	U	White tee and tan trousers repeats basic tee ensemble.
16	back	?	?	?	U	Rear lilac tee and cap.
17	reject	?	?	?	U	Lilac tee and dark trousers repeats basic tee ensemble.
18	detail	?	?	?	U	Flat brown logo tee.
19	reject	?	?	?	U	Brown tee and tan trousers repeats basic tee ensemble.
20	detail	?	?	?	U	Flat teal logo tee.
21	reject	?	?	?	U	Teal tee and tan trousers repeats basic tee ensemble.
22	back	?	?	?	U	Rear white graphic tee and tan trousers.
23	reject	?	?	?	U	White tee and tan trousers repeats basic tee ensemble.
24	detail	?	?	?	U	Flat pale green graphic tee.
25	back	?	?	?	U	Rear green tee and tan trousers.
26	detail	?	?	?	U	Flat dark collared shirt.
27	full	1.5	?	?	C	Dark collared shirt, black trousers and casual shoes; loose hem and pocketed hands obscure axes.
28	detail	?	?	?	U	Flat cream collared overshirt.
29	partial	1.5	?	?	C	Cream collared overshirt and tan trousers; straight outer layer conceals waist.
30	detail	?	?	?	U	Flat plaid jacket front.
31	detail	?	?	?	U	Flat plaid jacket back.
32	detail	?	?	?	U	Flat tan trousers.
33	back	?	?	?	U	Low rear walking trouser view; shoulders cropped.
34	detail	?	?	?	U	Flat dark trousers.
35	full	1.5	?	?	U	White tee, loose black trousers and casual shoes; loose hem and legs conceal contours.
36	detail	?	?	?	U	Flat brown zip jacket.
37	detail	?	?	?	U	Jacket lining and zipper closeup.
38	reject	?	?	?	U	Close black hoodie and shorts; retain fuller view 39.
39	full	1.5	?	?	U	Black hoodie, gray shorts and trainers; profile and hoodie obscure axes.
40	detail	?	?	?	U	Flat cream hoodie.
41	detail	?	?	?	U	Cream fleece fabric closeup.
42	detail	?	?	?	U	Flat floral camp shirt.
43	back	?	?	?	C	Rear floral camp shirt and tan trousers.
44	detail	?	?	?	U	Flat olive hooded jacket front.
45	detail	?	?	?	U	Flat olive hooded jacket back.
46	detail	?	?	?	U	Flat dark hooded jacket.
47	detail	?	?	?	U	Pocket and hands closeup.
48	detail	?	?	?	U	Flat dark zip jacket.
49	detail	?	?	?	U	Trouser pocket closeup.
50	detail	?	?	?	U	Flat dark printed camp shirt.
51	partial	1.5	?	?	C	Printed camp shirt, hat and dark trousers; high angled camera and loose shirt hide axes.
52	detail	?	?	?	U	Flat black embroidered jacket.
53	back	?	?	?	C	Rear embroidered jacket and dark trousers.
54	detail	?	?	?	U	Flat blue sweatshirt.
55	reject	?	?	?	U	Blue crewneck variation repeats prior Roark plain crewneck ensemble.
56	partial	1.5	?	?	C	Dark contrast-collar work jacket and black jeans; structured jacket hides waist.
57	reject	?	?	?	C	Close alternate work jacket from 56.
58	detail	?	?	?	U	Flat olive parka.
59	partial	?	?	?	U	Olive padded parka and dark trousers; thick outerwear obscures build.
60	detail	?	?	?	U	Flat cream cardigan.
61	seated	2	?	?	U	Cream cardigan, light tee and brown trousers by window; folded arms and seated pose hide axes.
62	detail	?	?	?	U	Flat burgundy overshirt.
63	detail	?	?	?	U	Shoulder and chest closeup of burgundy overshirt.
64	detail	?	?	?	U	Flat green overshirt.
65	full	1.5	?	?	C	Green pocketed overshirt, dark trousers and pale sneakers; pocketed hands and loose hem hide axes.
66	detail	?	?	?	U	Folded corduroy trousers.
67	detail	?	?	?	U	Rear trouser view with shoulders cropped.
68	detail	?	?	?	U	Flat blue chore jacket.
69	full	2	?	?	C	Blue chore jacket, brown trousers and boots walking outdoors; outerwear hides contours.
70	detail	?	?	?	U	Folded olive trousers.
71	full	1.5	?	?	U	Pale crewneck top, olive trousers and dark boots with shirt over shoulder; angled pose obscures axes.
72	detail	?	?	?	U	Flat contrast-collar burgundy rugby top.
73	detail	?	?	?	U	Collar and neckline closeup.
74	detail	?	?	?	U	Folded dark jeans.
75	detail	?	?	?	U	Waistband and hand closeup.
76	detail	?	?	?	U	Flat dark trucker jacket.
77	detail	?	?	?	U	Dark jacket collar closeup.
78	detail	?	?	?	U	Folded drawstring trousers.
79	detail	?	?	?	U	Shoulderless tan trouser crop.
80	detail	?	?	?	U	Folded dark overshirt.
81	seated	1.5	?	?	C	Dark overshirt, pale tee, jeans and high-top sneakers with cap; seated folded-arm pose hides axes.
82	detail	?	?	?	U	Folded tan overshirt.
83	detail	?	?	?	U	Tan overshirt chest and sleeve closeup.
84	detail	?	?	?	U	Folded orange plaid shirt.
85	full	1.5	?	?	C	Orange plaid shirt, olive trousers and brown shoes with cap; crossed leg and pockets hide axes.
86	detail	?	?	?	U	Folded striped blue shirt.
87	detail	?	?	?	U	Striped shirt chest closeup.
88	detail	?	?	?	U	Flat blue trucker jacket.
89	detail	?	?	?	U	Jacket fastening close crop; no complete outfit.
90	detail	?	?	?	U	Flat red trucker jacket.
91	full	2	?	?	C	Red trucker jacket over tan top with cream trousers on rocks; structured outer layer hides axes.
92	detail	?	?	?	U	Folded blue plaid shirt.
93	full	1.5	?	?	C	Open blue plaid shirt over cream tee with olive trousers and boots; layers obscure waist.
94	detail	?	?	?	U	Folded black and cream check shirt.
95	detail	?	?	?	U	Face and collar portrait; insufficient outfit.
96	detail	?	?	?	U	Flat navy knit polo.
97	detail	?	?	?	U	Knit polo draped over chair.
98	detail	?	?	?	U	Flat burgundy knit polo.
99	detail	?	?	?	U	Knit collar closeup.
100	detail	?	?	?	U	Folded olive corduroy shirt.
101	detail	?	?	?	U	Corduroy chest-pocket closeup.
102	detail	?	?	?	U	Folded blue corduroy shirt.
103	detail	?	?	?	U	Crossed-arm blue shirt close crop.
104	detail	?	?	?	U	Folded green corduroy shirt.
105	seated	2	?	?	C	Green corduroy shirt, blue jeans, pale shoes and cap; seated pose prevents axes.
106	detail	?	?	?	U	Folded blue jeans.
107	full	1.5	?	?	C	Beige button shirt, rolled dark jeans and casual shoes; leaning pose and loose shirt hide axes.
108	detail	?	?	?	U	Folded dark jeans.
109	detail	?	?	?	U	Rolled jeans hem and shoe detail.
110	detail	?	?	?	U	Flat dark crewneck sweater.
111	detail	?	?	?	U	Seated sweater torso close crop; incomplete outfit.
112	detail	?	?	?	U	Flat ochre tee.
113	detail	?	?	?	U	Crossed-arm tee chest closeup.
114	detail	?	?	?	U	Flat green tee.
115	partial	1.5	?	?	U	Green tee and dark trousers leaning on counter; pose and bunched hem obscure axes.
116	detail	?	?	?	U	Flat dark tee.
117	detail	?	?	?	U	Dark tee on table.
118	detail	?	?	?	U	Folded blue textured overshirt.
119	full	1.5	?	?	C	Blue textured overshirt over hoodie with black work trousers and boots on boat; layers hide contours.
120	detail	?	?	?	U	Shoulderless navy trouser front.
121	detail	?	?	?	U	Shoulderless navy trouser rear.
122	partial	1.5	?	?	U	Blue quarter-zip and dark trousers; loose torso and pocketed hand hide axes.
123	back	?	?	?	U	Rear blue quarter-zip.
124	detail	?	?	?	U	Shoulderless navy trouser crop.
125	detail	?	?	?	U	Shoulderless navy trouser rear.
126	detail	?	?	?	U	Shoulderless black trouser front.
127	detail	?	?	?	U	Shoulderless black trouser rear.
128	partial	1.5	1	?	C	Dark patterned knit polo and white trousers; enlarged view supports broader shoulders; loose hem hides waist.
129	detail	?	?	?	U	Polo neckline portrait.
130	full	1.5	?	?	M	Beige overcoat, collared shirt, cream trousers and dark boots; coat conceals axes.
131	reject	?	?	?	M	Close alternate beige overcoat from 130.
132	detail	?	?	?	U	Shoulderless beige trouser front.
133	detail	?	?	?	U	Shoulderless beige trouser rear.
134	detail	?	?	?	U	Shoulderless black trouser front.
135	detail	?	?	?	U	Shoulderless black trouser rear.
136	detail	?	?	?	U	Shoulderless brown trouser front.
137	detail	?	?	?	U	Shoulderless brown trouser rear.
138	reject	?	?	?	M	Black suit and black shirt repeats prior admitted Perry Ellis outfit.
139	back	?	?	?	M	Rear black suit.
140	reject	?	?	?	M	Beige suit and white shirt; repetitive colorway of prior suit ensembles.
141	back	?	?	?	M	Rear beige suit.
142	reject	?	?	?	M	Dark textured blazer and white shirt repeats prior tailoring ensemble.
143	back	?	?	?	M	Rear dark blazer.
144	reject	?	?	?	M	Brown suit and white shirt repeats prior admitted outfit.
145	back	?	?	?	M	Rear brown suit.
146	reject	?	?	?	M	Navy suit and white shirt repeats prior tailoring ensembles.
147	back	?	?	?	M	Rear navy suit.
148	partial	1.5	?	?	M	White shirt, gray tie, black belt and dark trousers; tucked folds and pocketed hand obscure axes.
149	back	?	?	?	M	Rear white shirt and dark trousers.
150	reject	?	?	?	M	Blue shirt and tie repeats ensemble from 148.
151	back	?	?	?	M	Rear blue shirt.
152	reject	?	?	?	C	White shirt and dark trousers repeats prior plain-shirt reference.
153	back	?	?	?	C	Rear white shirt.
154	reject	?	?	?	C	White shirt and tan trousers repeats prior basic collared ensemble.
155	back	?	?	?	C	Rear white shirt and tan trousers.
156	reject	?	?	?	C	Blue long-sleeve shirt repeats prior plain collared ensemble.
157	back	?	?	?	C	Rear blue shirt.
158	reject	?	?	?	C	Blue tucked shirt and dark trousers repeats basic collared ensemble.
159	back	?	?	?	C	Rear tucked blue shirt.
160	reject	?	?	?	C	Blue shirt and beige trousers repeats prior basic collared ensemble.
161	back	?	?	?	C	Rear blue shirt and beige trousers.
162	reject	?	?	?	C	Purple shirt and jeans repeats long-sleeve collared colorway.
163	back	?	?	?	C	Rear purple shirt.
164	reject	?	?	?	C	Pale short-sleeve shirt repeats collared style; retain complete 174.
165	back	?	?	?	C	Rear pale short-sleeve shirt.
166	reject	?	?	?	C	Navy patterned short-sleeve shirt; retain complete ensemble 174.
167	back	?	?	?	C	Rear navy short-sleeve shirt.
168	reject	?	?	?	C	Navy patterned short-sleeve shirt repeats collared ensemble 174.
169	back	?	?	?	C	Rear navy patterned shirt.
170	partial	2	?	?	C	Pale patterned camp shirt and gray trousers; straight loose hem hides waist.
171	back	?	?	?	C	Rear pale camp shirt.
172	reject	?	?	?	C	Navy geometric short-sleeve shirt repeats collared ensemble 174.
173	back	?	?	?	C	Rear navy geometric shirt.
174	full	2	?	?	C	Navy printed short-sleeve shirt, dark trousers and sneakers; pocketed hand and loose hem hide axes.
175	detail	?	?	?	U	Head and shirt collar closeup.
176	partial	1.5	?	?	C	Cream bold-leaf long-sleeve shirt and dark trousers; print and loose hem hide waist.
177	back	?	?	?	C	Rear bold-leaf shirt.
178	detail	?	?	?	U	Shoulderless shorts front.
179	detail	?	?	?	U	Shorts waistband closeup.
180	reject	?	?	?	U	Gray V-neck and brown trousers repeats prior V-neck knit ensemble.
181	detail	?	?	?	U	V-neck knit neckline closeup.
182	reject	?	?	?	C	Pale blue button shirt and beige trousers repeats prior blue-shirt ensemble.
183	detail	?	?	?	U	Pale shirt collar closeup.
184	reject	?	?	?	C	Blue check shirt and beige trousers repeats prior blue-shirt ensemble.
185	detail	?	?	?	U	Blue shirt portrait crop.
186	partial	2	?	?	M	Lilac plaid blazer, blue shirt and tan trousers; structured jacket hides axes.
187	reject	?	?	?	M	Close alternate plaid blazer from 186.
188	reject	?	?	?	M	Blue plaid blazer repeats checked tailoring ensemble 186.
189	detail	?	?	?	U	Blazer lapel closeup.
190	reject	?	?	?	M	Close knit-blazer crop; retain wider 191.
191	partial	2	?	?	M	Pale blue knit blazer over blue polo and brown trousers; crossed hands and jacket hide axes.
192	reject	?	?	?	C	Pale checked shirt repeats prior collared-shirt ensemble.
193	detail	?	?	?	U	Checked collar closeup.
194	reject	?	?	?	C	Blue checked shirt repeats prior collared-shirt ensemble.
195	detail	?	?	?	U	Blue check fabric and collar closeup.
196	reject	?	?	?	C	Purple checked shirt repeats prior collared-shirt ensemble.
197	reject	?	?	?	C	Alternate purple shirt view from 196.
198	reject	?	?	?	C	Burgundy checked shirt repeats prior collared-shirt ensemble.
199	detail	?	?	?	U	Burgundy gingham collar closeup.
200	partial	2	?	?	U	White short-sleeve henley and olive trousers; leaning pose and bunched hem hide axes.
201	detail	?	?	?	U	Henley neckline closeup.
202	partial	2	?	?	U	Yellow hoodie and dark trousers; loose torso and pocketed hand hide axes.
203	detail	?	?	?	U	Hoodie neckline closeup.
204	reject	?	?	?	U	Green hoodie repeats hoodie ensemble from 202.
205	detail	?	?	?	U	Folded-arm hoodie portrait crop.
206	partial	2	?	?	C	Brown toggle-collar quilted sweater over collared shirt and cream trousers; thick knit hides axes.
207	detail	?	?	?	U	Toggle-collar closeup.
208	reject	?	?	?	C	Red toggle sweater repeats ensemble from 206.
209	detail	?	?	?	U	Red toggle neckline closeup.
210	reject	?	?	?	C	Blue toggle sweater repeats ensemble from 206.
211	detail	?	?	?	U	Blue sweater portrait crop.
212	reject	?	?	?	C	Green toggle sweater repeats ensemble from 206.
213	detail	?	?	?	U	Green sweater portrait crop.
214	reject	?	?	?	C	Blue gingham shirt repeats earlier admitted checked-shirt ensemble.
215	detail	?	?	?	U	Gingham collar closeup.
216	partial	2	?	?	C	Navy floral short-sleeve shirt and white trousers; loose shirt hides waist.
217	detail	?	?	?	U	Floral shirt chest closeup.
218	detail	?	?	?	U	Striped collar closeup.
