ordinal	build	shoulderHip	waist	view	clothing	evidence
1	2	?	1	full	Brown tank and denim shorts.	Arms and fitted trunk support intermediate build and moderate waist taper; roomy shorts obscure hip width.
2	?	?	?	detail	Denim shorts and yellow top edge.	Waist-to-thigh crop lacks independent upper-body cues.
3	?	?	?	reject	Denim bags.	Products only; no body visible.
4	?	?	?	reject	Multicolored bags.	Products only; no body visible.
5	?	?	?	reject	Printed grocery bags.	Products only; no body visible.
6	1.5	?	?	full	Blue tank and patterned shorts.	Narrow arms and legs support build; cropped hem and loose shorts limit local axes.
7	2.5	?	?	partial	Tie-dye top and shorts.	Fuller arms and trunk support build; raised arms and twisting obscure local comparisons.
8	2	?	?	full	White fitted shirt and green trousers.	Arms and fitted upper trunk support build; shirt bunching and hand at waist obscure taper, while loose trousers hide hips.
9	1.5	?	1	full	White long-sleeve top and purple trousers.	Narrow limbs and trunk support build; fitted top shows waist taper but trousers obscure hip width.
10	1.5	?	1	full	White tank and blue trousers.	Narrow arms and trunk with visible waist taper; structured trousers obscure hip comparison.
11	3	?	?	partial	Blue tee and drawstring trousers.	Broad trunk and full upper arms support build; raised arm and hand at hip distort local axes.
12	1.5	?	?	partial	Purple fitted tee and blue trousers.	Narrow arms and torso support build; tilted pose and lower crop limit local comparisons.
13	1.5	?	?	seated	Black tee with multicolor sleeves and jeans.	Narrow arms and upper trunk support build; seated lower body obscures shape.
14	3	?	?	partial	Pink tee and light jeans.	Full arms and broad fitted trunk support build; hand at hip and loose trousers limit local axes.
15	?	?	?	reject	Red bag on multicolored fabric.	Product only; no body visible.
16	?	?	?	partial	Dark fuzzy cardigan and black trousers.	Loose textured cardigan hides arms and trunk contours.
17	?	?	?	partial	Dark cropped cardigan and black trousers.	Raised arms and wide sleeves obscure build and local contours.
18	1.5	?	?	partial	Black velvet outfit with lace sleeves.	Narrow arms and trunk support build; leaning pose and dark lower garment obscure local axes.
19	1.5	?	1	partial	Black velvet bodysuit with lace sleeves.	Narrow arms and thighs support build; visible waist indentation, but lean complicates width balance.
20	1.5	?	?	partial	Pinstripe vest over mesh top and wide trousers.	Narrow visible arms and upper trunk support build; tailored vest and loose trousers obscure shape.
21	1.5	?	?	partial	Pinstripe lace-up vest.	Narrow arm and torso support build; side angle and cinched vest prevent local judgments.
22	1.5	?	?	partial	Burgundy lace top.	Narrow visible arms and trunk support build; hands cover lower waist and hip region is cropped.
23	1.5	?	?	partial	Burgundy lace top and black bottom.	Narrow arms and trunk support build; turned pose and hands obscure local comparison.
24	?	?	?	detail	Gray wide-leg trousers and belt.	Lower-body garment crop lacks upper-body contours.
25	?	?	?	detail	Gray trousers with lace-up side.	Close garment detail lacks comparative body cues.
26	1.5	?	?	partial	Purple open-knit top and lace-up trousers.	Narrow trunk and upper arms support build; hands at waist and stiff trousers obscure local axes.
27	?	?	?	detail	Purple open-knit sleeve and torso detail.	Tight crop and crossing sleeve obscure independent body cues.
28	2	?	?	partial	Black fitted top with corset belt and laced bottom.	Moderate arms and upper trunk support build; cinching and cropped hips prevent local shape judgments.
29	1.5	?	?	partial	Black mesh turtleneck and black bottom.	Narrow arms and trunk support build; turned pose and raised forearms obscure waist comparison.
30	1.5	?	?	partial	Black mesh turtleneck and black bottom.	Narrow arms and torso support build; lean and hands pulling clothing limit local axes.
31	3	?	?	partial	Black sleeveless short dress.	Full arms and thighs with broad trunk support build; raised arm and flared skirt obscure local proportions.
32	2.5	?	?	partial	Black short-sleeve button shirt.	Arms and broad upper trunk support approximate build; loose shirt hides waist and hips.
33	?	?	?	partial	Blue suit over light shirt.	Tailored jacket and cropped legs leave insufficient independent contours.
34	1.5	?	?	partial	Black long-sleeve polo and trousers.	Narrow arms and trunk support build; shirt drape and lower crop obscure local axes.
35	3	?	?	partial	Navy short-sleeve shirt and gray trousers.	Full exposed arms and broad trunk support build; loose shirt hides waist.
36	1.5	?	?	partial	Blue sweater and gray trousers.	Narrow arms and upper trunk support build; crossed arm and layered hem obscure waist and hips.
37	3	?	?	partial	Black short-sleeve polo.	Full exposed arms and broad trunk support build; hip crop and hands at hem limit shape.
38	?	?	?	detail	Black trousers and pale sweater edge.	Lower-body crop lacks upper-body cues.
39	2.5	?	?	partial	White dress shirt and bow tie.	Broad trunk and arm contours support approximate build; shirt construction and hip crop obscure local axes.
