ordinal	view	build	shoulderHip	waist	evidence
0	detail	?	?	?	Isolated graphic tee on hanger.
1	partial	1.5	?	?	Dark graphic tee and blue jeans in a thigh crop; relaxed top and pocket hand conceal waist and hip contours.
2	detail	?	?	?	Isolated beige blazer on hanger.
3	partial	?	?	?	Beige textured suit with white collared shirt and burgundy tie; partial tailoring ensemble; jacket conceals body contours.
4	detail	?	?	?	Isolated textured overshirt on hanger.
5	detail	?	?	?	Torso-only close view of textured overshirt; no lower outfit.
6	detail	?	?	?	Isolated denim jacket on hanger.
7	detail	?	?	?	Denim jacket chest portrait; no trouser ensemble or hip boundary.
8	detail	?	?	?	Isolated jeans on hanger.
9	detail	?	?	?	Rear pocket detail of jeans.
10	detail	?	?	?	Isolated brown zip collar top on hanger.
11	detail	?	?	?	Close zip collar portrait without lower outfit.
