ordinal	view	build	shoulderHip	waist	presentation	evidence
0	seated	1.5	?	?	F	White lace ensemble; seated angled torso.
1	full	1.5	?	?	F	Grey sweatshirt and metallic slit skirt; loose torso.
2	full	1.5	?	?	D	Graphic top and tulle skirt; skirt conceals hips.
3	full	1.5	?	?	F	Turquoise top and patterned shorts; crossed legs and tilted torso.
4	seated	?	?	?	F	Dark lace ensemble on sofa; distant seated contours.
5	partial	1.5	?	?	D	Grey fitted dress; angled torso and cropped legs.
6	partial	2	?	?	U	Tank, cardigan and denim shorts; raised arm and angled hips.
7	full	1.5	?	?	F	Black cropped top and shorts; tied layer obscures hips.
8	full	1.5	?	?	F	White top, yellow trousers and heels; side pose.
9	partial	1.5	?	?	D	Dark fitted dress; angled torso and lower crop.
10	full	1.5	?	?	F	Sheer black ensemble and platform boots; three-quarter pose.
11	full	?	?	?	U	Distant outdoor shorts ensemble; crouched climbing pose.
12	full	1.5	?	?	U	Blue sweater and dark trousers; leaning side pose.
13	full	1.5	?	?	C	Bomber jacket, trousers and lace-up boots; jacket obscures waist.
14	partial	1.5	?	?	D	Patterned blouse and pleated skirt; flared hips obscured.
15	partial	1.5	?	?	D	Blue patterned belted dress; hand on hip and torso rotation.
16	partial	1.5	?	?	U	Printed tank and tied plaid layer; raised arm and covered hips.
17	full	1.5	?	?	U	Dark loose top and trousers; distant angled pose.
18	full	1.5	?	?	F	Long coat, cropped jeans and heels; outerwear hides contours.
19	full	?	?	?	U	Athletic separates; deeply bent exercise pose.
20	full	1.5	?	?	M	Waistcoat, collared shirt and trousers; turned torso.
21	full	1.5	?	?	F	Sheer top, shorts and boots; open outer layer hides shoulders.
22	reject	?	?	?	U	Two prominent people; no single outfit subject.
23	full	1.5	?	?	D	White short dress and heels; walking pose.
24	partial	?	?	?	U	Winter layers and held clothing obscure torso.
25	partial	1.5	?	?	D	Black lace-neck dress; hand on hip and oblique pose.
26	full	1.5	?	?	F	Lace top and fitted black trousers; hands cover pelvis.
27	full	?	?	?	F	Fur layers, leopard tights and boots obscure build.
28	full	1.5	?	?	D	Red long dress; arms and side panels obscure contours.
29	seated	1.5	?	?	D	Lace patterned dress; seated with folded arms.
30	partial	1.5	?	?	D	Black cape dress; loose torso and cropped legs.
31	full	?	?	?	U	Plaid winter coat and oversized scarf conceal contours.
32	partial	?	?	?	U	Bomber and long scarf conceal waist and hips.
