ordinal	view	build	shoulderHip	waist	evidence
0	partial	1.5	?	?	Checked knit over dark short skirt; loose sweater hides waist and shoulder-to-hip contours.
1	reject	?	?	?	Repeated checked-knit and dark-skirt ensemble from ordinal 0.
2	reject	?	?	?	Alternate stance of striped rugby and dark-skirt ensemble retained at ordinal 3.
3	full	1.5	?	?	Striped rugby with dark mini skirt and heels; boxy top and skirt obscure anatomical axes.
4	full	1.5	?	?	Long dark sleeveless utility vest with matching short skirt and heels; structured layers obscure waist and hips.
5	reject	?	?	?	Repeated dark vest/skirt ensemble from ordinal 4.
6	full	1.5	?	?	Green patterned sweater with patchwork pleated skirt and tall boots; sweater and flared skirt hide contour axes.
7	detail	?	?	?	Head and shoulders absent in skirt-focused crop; insufficient ensemble context.
8	full	1.5	?	?	Navy crest blazer and wide tailored trousers combined with a delicate eyelet blouse; mixed ensemble cues, jacket hides waist and hip contours.
9	reject	?	?	?	Repeated blazer and tailored-trouser ensemble from ordinal 8.
10	partial	1.5	?	?	Cropped tweed zip jacket with patchwork mini skirt; distinct outerwear ensemble, constructed layers hide contours.
11	detail	?	?	?	Close view of collar zipper and chest pockets; no outfit view.
