ordinal	view	build	shoulderHip	waist	evidence
0	reject	?	?	?	Multi-person pub scene; excluded rather than assigning a single outfit observation.
1	detail	?	?	?	Polo chest and collar detail only.
2	reject	?	?	?	Seated version of the same sweater and shirt outfit retained in the clearer standing view at 3.
3	full	1.5	?	?	Standing collared shirt under green sweater, pale jeans and dark loafers; slight visible build. Loose layered hem and hands in pockets obscure waist and hip boundaries.
4	reject	?	?	?	Cropped variation of the navy zip jacket retained in the fuller outfit at 5.
5	full	1.5	?	?	Navy zip jacket, green trousers and loafers; slight visible build. Jacket volume and pocketed hand obscure waist and hip contours.
6	partial	1.5	?	?	White henley and brown patch-pocket trousers; slight visible build. Boxy hem and arms behind torso obscure waist and hip comparison.
7	detail	?	?	?	Henley collar and chest detail only.
8	reject	?	?	?	Cropped tucked variation of navy tee outfit; retain clearer full standing view at 9.
9	full	1.5	?	?	Navy tee with green trousers and brown shoes; slight visible build. Enlarged original confirms loose straight tee conceals waist and upper hips.
10	reject	?	?	?	Repeated contrast-stitch tee colorway and cropped pose; no distinct outfit admission beyond 9.
11	reject	?	?	?	Repeated contrast-stitch tee and trouser colorway; excluded rather than padding near-identical styling.
12	partial	3	?	?	Floral knotted blouse and dark jeans; fuller visible build. Flutter sleeves and gathered knot obscure shoulder boundary and anatomical waist.
13	reject	?	?	?	Repeated pose of the blouse and jeans retained at 12.
14	full	3	?	?	Blue floral wrap dress and heeled sandals; fuller visible build. Raised arm, angled stance and wrap construction prevent reliable shoulder/hip and waist observations.
15	detail	?	?	?	Cropped dress advertisement with text; retain full outfit at 14.
16	reject	?	?	?	Repeated floral wrap-dress styling and angled pose, differing mainly in print from 14.
17	reject	?	?	?	Another print variant of the same wrap-dress styling; no distinct outfit admission beyond 14.
18	full	3	?	?	White tank, striped wide-leg trousers and wedge sandals; fuller visible build. Enlarged original shows angled torso, hands in pockets and gathered waistband hiding hip and waist contours.
19	back	?	?	?	Rear trouser crop, not front outfit evidence.
20	partial	3	?	?	Green floral wrap top with dark jeans; fuller visible build. Enlarged original shows angled stance and diagonal gathered fabric; anatomical waist and shoulder/hip balance remain uncertain.
21	reject	?	?	?	Repeated pose of the green wrap blouse retained at 20.
22	reject	?	?	?	Raised-arm variation of peplum blouse retained at 23.
23	partial	2.5	?	?	Floral peplum blouse and jeans; moderately fuller visible build. Enlarged original confirms flared hem, voluminous sleeves and angled pose conceal individual contours.
