ordinal	view	build	shoulderHip	waist	evidence
0	detail	?	?	?	Isolated three-shirt product arrangement; no outfit.
1	reject	?	?	?	Black crew tee and jeans repeat prior admitted basic tee ensembles.
2	detail	?	?	?	Isolated white-shirt multipack; no outfit.
3	reject	?	?	?	White tee and jeans repeat basic tee colorway ensemble.
4	detail	?	?	?	Isolated black-shirt multipack; no outfit.
5	detail	?	?	?	Isolated colored-shirt multipack; no outfit.
6	reject	?	?	?	Blue crew tee and dark jeans repeat prior basic tee ensembles.
7	reject	?	?	?	Blue tee upper-body view repeats already represented tee colorways.
8	back	?	?	?	Rear blue tee view.
9	detail	?	?	?	Sweatshort crop omits shoulders and upper outfit.
10	detail	?	?	?	Rear sweatshort detail crop.
11	reject	?	?	?	Leaf-print short sleeve dress repeats prior short sleeve printed shift silhouette and sandals.
12	reject	?	?	?	Closer pose of repeated leaf-print shift ensemble at 11.
13	reject	?	?	?	Small-print top and black skirt repeat prior patterned top and black skirt variants.
14	reject	?	?	?	Alternate crop of repetitive patterned top and black skirt at 13.
15	full	2.5	?	?	Sleeveless collared geometric mini dress with tan sandals; enlarged view shows moderately fuller torso and limbs, but oblique pose prevents shoulder-hip and waist comparison.
16	reject	?	?	?	Alternate raised-arm pose of geometric mini dress at 15.
17	reject	?	?	?	Large-circle gathered short sleeve dress repeats prior gathered dress print variants.
18	detail	?	?	?	Close neckline and bodice crop of circle dress.
19	full	3	?	?	Pale spotted sleeveless empire dress with lavender sandals; fuller torso and arms visible; gathered skirt hides hips and waist contour.
20	reject	?	?	?	Alternate pose of spotted sleeveless dress at 19.
21	full	3	?	?	Floral scoop-neck dress with red tights and black ankle boots; fuller torso and arms visible, hands at waist and flared skirt hide independent waist and hip axes.
22	reject	?	?	?	Alternate wider pose of floral dress red tights and boots at 21.
