ordinal	view	build	shoulderHip	waist	evidence
0	partial	1.5	?	?	White rolled-sleeve collared shirt with dark jeans; masculine casual ensemble; enlarged original confirms turned torso and crossed arms hide frontal contours.
1	detail	?	?	?	White fabric swatch without wearer; exclude product detail.
2	detail	?	?	?	Pink trouser crop lacks shoulders and upper torso; exclude detail.
3	detail	?	?	?	Pink fabric swatch without wearer; exclude product detail.
4	detail	?	?	?	Gray trouser-focused crop removes shoulders and most upper torso; exclude detail.
5	detail	?	?	?	Close gray trouser pocket and hand crop; exclude detail.
6	detail	?	?	?	Pinstriped trouser crop removes shoulders and upper torso; exclude detail.
7	detail	?	?	?	Close pinstriped fabric view; exclude detail.
8	detail	?	?	?	Navy pinstriped trouser crop removes upper torso and shoulders; exclude detail.
9	detail	?	?	?	Close trouser waist and pocket crop; exclude detail.
10	detail	?	?	?	Gray checked trouser crop lacks upper torso and shoulders; exclude detail.
11	detail	?	?	?	Close checked trouser fabric view; exclude detail.
12	reject	?	?	?	Repeated pink graphic tee outfit retained full at 13; exclude tighter view.
13	full	2.5	?	?	Loose pink graphic tee dark cropped flared jeans and white wedge boots; styling remains ambiguous; enlarged original shows held-out hem and oblique stance obscuring waist and shoulder balance.
14	reject	?	?	?	Repeated knotted charcoal tee dress retained full at 15; exclude tighter view.
15	full	2.5	?	?	Charcoal graphic tee worn as knotted short dress with white western boots; feminine dress-led styling; knot and loose drape conceal waist and hips.
16	reject	?	?	?	Repeated white graphic tee and ripped jeans ensemble retained full at 17; exclude tighter view.
17	full	2.5	?	?	White graphic tee with ripped flared jeans and light pointed footwear; neutral basic ensemble; enlarged original shows oversized dropped shoulders and tucked blousing with hands over hips.
18	reject	?	?	?	Repeated scalloped cream knit ensemble retained full at 19; exclude tighter view.
19	full	2.5	?	?	Cream scalloped bell-sleeve knit with fitted blue jeans and tan heeled ankle boots; feminine separates; loose knit and held hem hide waist and hip transition.
20	reject	?	?	?	Repeated white eyelet dress ensemble retained full at 21; exclude tighter view.
21	full	2.5	?	?	White tie-neck eyelet short dress and tan knee boots; feminine dress-led ensemble; flared skirt and loose bodice conceal torso proportions.
22	reject	?	?	?	Repeated red knit ensemble retained full at 23; exclude tighter view.
23	full	2.5	?	?	Loose red wide-sleeve knit cropped jeans tan ankle boots and shoulder bag; basic styling remains unclear; voluminous knit and bag hide torso contours.
