ordinal	view	build	shoulderHip	waist	evidence
0	partial	2.5	?	?	Black wide short-sleeve knit with blue trousers; arms behind and roomy fabric conceal shoulder and waist contours.
1	detail	?	?	?	Close crop of knit sleeve and arm; no outfit.
2	full	2.5	?	?	Striped sleeveless midi dress and tan boots; gathered skirt conceals hip width and natural waist.
3	back	?	?	?	Rear view of striped midi dress.
4	full	3	?	?	Black square-neck ruffled dress with yellow boots; lifted skirt and gathered fabric obscure hips and waist.
5	reject	?	?	?	Near-identical repeated pose of black dress and yellow boots from ordinal 4.
6	full	1.5	?	?	Black short-sleeve gathered mini dress with dark Mary Jane shoes; loose skirt conceals hip and waist contours.
7	reject	?	?	?	Second pose of the same black mini-dress ensemble as ordinal 6.
8	reject	?	?	?	Ruffled square-neck mini-dress variant repeats the garment construction reviewed at ordinal 4; no additional reliable contours.
9	reject	?	?	?	Red square-neck ruffled mini-dress colorway repeats reviewed construction; no additional reliable contours.
10	full	2.5	?	?	Cream lace-textured sleeveless midi dress with boots; gathered skirt obscures hips and waist despite visible broader build.
11	back	?	?	?	Rear view of cream lace-textured dress.
