ordinal	view	build	shoulderHip	waist	evidence
0	detail	?	?	?	Unworn black trousers; no body.
1	full	1.5	?	?	Standing pale collared shirt tucked into dark wide trousers with dark shoes; masculine workwear ensemble. Lean build visible; roomy trousers and shirt tuck hide hip and waist contours.
2	detail	?	?	?	Unworn cream long-sleeved henley; no body.
3	full	1.5	?	?	Cream long-sleeved henley with tan trousers and brown shoes; neutral basic ensemble. Lean build visible, but loose straight hem and roomy trousers obscure contour axes.
4	detail	?	?	?	Unworn burgundy henley; no body.
5	reject	?	?	?	Burgundy henley colorway repeats cream henley and tan trousers at 3.
6	detail	?	?	?	Unworn black henley; no body.
7	reject	?	?	?	Black henley colorway repeats ensemble at 3.
8	detail	?	?	?	Unworn black crewneck; no body.
9	reject	?	?	?	Basic black crewneck with same tan trousers and shoes repeats neutral long-sleeved outfit at 3 without contour improvement.
10	detail	?	?	?	Unworn cream crewneck; no body.
11	reject	?	?	?	Cream crewneck variation repeats neutral long-sleeved outfit at 3.
12	partial	2	?	?	Black-and-white checked overshirt over white tee and dark trousers; masculine workwear styling. Mid apparent build; layered shirt, hands in pockets and lower crop obscure contour axes.
13	reject	?	?	?	Alternate leaning crop of checked overshirt ensemble at 12.
14	full	2	?	?	Dark hooded knit top with tan trousers and brown shoes; neutral casual styling. Mid build visible; clasped hands and loose top prevent shoulder/hip and waist observations.
15	reject	?	?	?	Grey hooded knit and salmon-trouser color variation of neutral outfit at 14; no contour improvement.
16	full	1.5	1	?	Front standing pale polo, cream shorts and sandals; masculine casual ensemble. Enlarged image supports lean build and shoulders broader than hips. Loose untucked polo masks waist indentation.
17	reject	?	?	?	Olive polo and mint-shorts color variation of polo/short ensemble at 16.
18	full	1.5	?	?	Navy polo with cream long trousers and bare feet; masculine casual ensemble distinct from shorts styling at 16. Lean build visible; hand in pocket, tilted hip and draped polo prevent shoulder/hip and waist scoring.
19	full	1.5	1	?	White crew tee with mint fitted trousers and white sneakers; neutral basic styling. Enlarged front view supports lean build and shoulders broader than hips; loose half-tucked tee hides waist indentation.
20	reject	?	?	?	Blue polo and cream trousers repeat collared trouser ensemble at 18.
21	reject	?	?	?	Navy polo and mint trousers repeat collared trouser ensemble at 18; folded arms hide contours.
22	partial	2	1	?	Short-sleeved plaid button shirt with cream trousers; masculine casual collared ensemble. Enlarged front view supports mid build and broader shoulders than hips; hanging shirt fabric prevents reliable waist indentation.
23	reject	?	?	?	Plaid short-sleeved shirt and tan shorts repeat plaid casual ensemble at 22 with color and trouser-length variation; clasped hands add no contour evidence.
