ordinal	view	build	shoulderHip	waist	evidence
0	detail	?	?	?	Flat green fleece vest; no person.
1	detail	?	?	?	Flat blue fleece vest; no person.
2	detail	?	?	?	Flat brown fleece vest; no person.
3	full	1.5	?	?	Brown open vest over yellow knit with jeans and flats; layers conceal torso contours.
4	detail	?	?	?	Flat cream fleece vest; no person.
5	detail	?	?	?	Flat grey fleece vest; no person.
6	detail	?	?	?	Flat brown fleece jacket; no person.
7	partial	2.5	?	?	Black open rain layer over grey tee and denim shorts; fuller visible build, outer layer hides shoulders and waist; enlarged original inspected.
8	reject	?	?	?	Repeated rain-layer outfit from ordinal 7 with front closed; no distinct admission.
9	reject	?	?	?	Rain-layer colorway repeating the tee and denim-short ensemble at ordinal 7.
10	reject	?	?	?	Alternate oblique pose of the same rain-layer colorway outfit.
