ordinal	view	build	shoulderHip	waist	evidence
0	partial	3	?	?	Blue circular-print tee and olive flowing skirt; fuller visible arms and torso; enlarged view confirms boxy hem and skirt hide waist and hips.
1	reject	?	?	?	Repeated pose of outfit retained at 0.
2	partial	3	?	?	Contrasting leopard balloon sleeves with black gathered skirt; fuller torso visible; enlarged view confirms gathered skirt and wide sleeves hide axes.
3	detail	?	?	?	Close crop of leopard sleeve and dress bodice; clearer outfit retained at 2.
4	reject	?	?	?	Gray balloon-sleeve and gathered-trouser coordination repeats loose matching-set styling already admitted in prior Copper Union reference 23.
5	reject	?	?	?	Full view of same gray matching-set variant; no distinct contour gain over prior loose-set reference.
6	detail	?	?	?	Red dress hanging without wearer.
7	detail	?	?	?	Rear of hanging red dress without wearer.
8	full	2.5	?	?	Multicolor geometric gathered dress with dark Mary Jane shoes; moderately fuller visible torso and limbs; skirt fullness and pocket pose obscure hips and waist.
9	reject	?	?	?	Repeated geometric gathered-dress outfit; do not multiply admissions through alternate wearer or pose.
10	reject	?	?	?	Circular-print variant of gathered dress styling retained at 8; repeated dress construction.
11	reject	?	?	?	Closer repeated view of circular-print gathered dress.
12	reject	?	?	?	Blue printed tee and black skirt repeats printed boxy-top/skirt styling retained at 0 and prior references.
13	reject	?	?	?	Repeated pose of blue printed tee and skirt variant.
