ordinal	build	shoulderHip	waist	view	clothing	evidence
1	2.5	?	?	partial	Black top; white flared mini and strapped leg covers.	Visible thighs and forearms support broader apparent build; shoulders cropped and skirt hides hips.
2	1.5	?	?	partial	Dark floral ruffled dress with lace-up bodice.	Visible limbs suggest slender-intermediate build; corseted bodice and flared skirt prevent local body inference.
3	?	?	?	partial	Red-black patterned kimono sleeves and wide black belt.	Draped sleeves and wrapped torso hide build and local contours.
4	?	?	?	partial	Long black pointed jacket over red plaid trousers.	Structured coat conceals trunk and hips; insufficient exposed limb evidence.
5	1.5	?	?	partial	Fitted black hardware jacket over red plaid trousers.	Narrow torso and visible hand/forearm cues; jacket structure and cropped hips limit local axes.
6	3	?	?	partial	Black tiered lace dress with white corset belt.	Upper arms and torso support fuller build; cinching and skirt conceal natural waist and hips.
7	3	-1	?	full	Blue denim flared overalls.	Exposed arms and close upper legs support fuller build; hips wider than shoulders; bib hides waist.
8	1.5	?	?	seated	Olive work jacket with blue trousers.	Visible hands and compact upper trunk suggest slender-intermediate build; seated twist and jacket hide proportions.
9	?	?	?	reject	Stacked brightly patterned textiles.	No person visible.
10	1.5	0	1	full	Multicolor printed short-sleeve jumpsuit.	Visible arms and relatively close torso suggest slender-intermediate build; near-frontal widths similar with moderate indentation.
11	?	?	?	reject	Printed tote bags.	Product-only image; no person.
12	3	-1	1	full	Black tank with orange-black striped trousers.	Bare arms and fitted tank support fuller build; hips broader with moderate waist indentation.
13	3	?	0	partial	Plain gray long-sleeve crewneck with jeans.	Broad torso with relatively straight visible sides; shirt hem conceals actual hip boundary.
14	3	?	?	partial	Dark jacket over burgundy top and scarf.	Broad upper trunk visible; layers and crop obscure waist and hips.
15	3	?	?	seated	Blue suit with white shirt and white sneakers.	Broad trunk and upper legs support fuller build; sitting and jacket prevent local comparisons.
16	3	?	?	seated	Blue suit with white shirt.	Broad upper torso and thighs; seated crop and open jacket conceal local axes.
17	3	?	?	seated	Blue plaid shirt with dark vest, riding a horse.	Broad visible trunk; horse and seated legs conceal waist and hips. Background person is not labeled.
18	3	?	?	partial	Black leather biker jacket with gray tee and pale trousers.	Broad trunk and arms support fuller build; open structured jacket and lower crop obscure local axes.
19	1.5	?	?	partial	Black fitted hardware blazer over black bottoms.	Narrow upper trunk and arms; shaped jacket and concealed hips prevent anatomical width or waist claims.
20	?	?	?	detail	Close-up of black blazer fasteners and zips.	Garment-only torso detail lacks overall reference landmarks.
21	1.5	?	1	partial	Black lace cropped top over dark bottoms.	Slim visible arm and close torso with moderate waist indentation; turned pose and cropped hips prevent width comparison.
22	?	?	?	detail	Close-up of black lace upper torso.	Crop omits arms, waist and hips; no overall build judgment.
23	1.5	?	1	partial	Burgundy sheer floral top with black harness and pleated skirt.	Slim exposed arms and close waist contour; skirt hides hip width and harness shapes upper torso.
24	1.5	?	1	partial	Burgundy sheer floral bodysuit.	Slim limbs and visible moderate waist indentation; tilted torso and angled hips limit shoulder/hip comparison.
25	2.5	0	1	partial	Black lace-up crop top and close shorts.	Visible midriff, thighs and close sleeves support intermediate-fuller build; widths similar with moderate waist indentation.
26	2	0	1	partial	Burgundy lace-up crop top and fitted shorts.	Close limbs and exposed midriff support intermediate build; near-frontal shoulder/hip widths similar and waist moderately indented.
27	2	?	?	partial	Black double-breasted fitted jacket and mini skirt.	Visible thighs and close arms support intermediate build; leaning pose and shaped tailoring conceal local body contours.
28	1.5	?	?	partial	Black fitted blazer and short skirt.	Narrow visible thighs and arms; structured jacket obscures waist and true shoulder width.
29	2	0	?	partial	Brown structured sleeveless zip top with black mini skirt.	Bare arms and thighs support intermediate build; similar shoulder/hip span; boned torso invalidates waist judgment.
30	3	0	?	partial	Brown structured sleeveless zip top with black skirt.	Broad exposed arms and close hips; roughly similar shoulder/hip width; rigid bodice shapes waist.
31	3	?	?	partial	Black loose lace-trim mini dress with fishnets.	Broad bare arms and visible thighs support fuller build; lifted flared skirt and loose torso hide local axes.
32	1	?	?	partial	Black loose lace-trim mini dress and boots.	Slender exposed arms and legs; loose dress hides trunk and hip proportions.
33	1.5	0	1	partial	Black close-fitting zip mini dress with chest cutout.	Narrow limbs and close dress contour; similar shoulder/hip width and moderate waist indentation despite slight lean.
34	2	?	1	partial	Black lace-trim top with ruffled shorts.	Visible thighs and close trunk suggest intermediate build; waist indentation visible, but ruffles hide hip outline.
35	3	?	1	partial	Black sleeveless ribbed top and loose shorts.	Broad exposed arms and thighs; moderate waist indentation; loose shorts inflate the visible hip span, so width balance remains unknown after enlarged reread.
36	1.5	?	1	partial	Black sleeveless ribbed top with gathered bloomers.	Slim exposed arms and thighs; close top shows moderate waist indentation; puffed shorts obscure hip width.
37	?	?	?	partial	White tucked shirt with brown tailored trousers.	Lower torso and legs only; shoulders absent and trouser drape insufficient for overall build.
38	2.5	?	1	partial	Gray-black cardigan over collared shirt and dark trousers.	Close upper trunk and upper legs suggest intermediate-fuller build; moderate indentation visible; turned pose limits width balance.
39	2	?	?	partial	Olive work jacket over pale blue shirt and dark trousers.	Moderate visible trunk and upper-leg breadth; open jacket and angled hips conceal local proportions.
