ordinal	view	build	shoulderHip	waist	evidence
0	partial	?	?	?	Blue checked jacket over red patterned shirt and matching trousers; loose layers, leaning pose and thigh crop obscure contours.
1	reject	?	?	?	Repeated outfit and nearby leaning pose from ordinal 0.
2	partial	?	?	?	Blue checked button-front dress with red patterned jacket; loose sleeves and gathered skirt obscure body axes.
3	reject	?	?	?	Same checked dress as ordinal 2 with open reversed jacket; repeated outfit styling.
4	reject	?	?	?	Cropped alternate view of orange checked shirt, red jacket and jeans retained at ordinal 5.
5	full	1.5	?	?	Red patterned short jacket over orange checked shirt, wide blue jeans and orange heeled sandals; enlarged original shows hands and loose jacket obscuring waist and shoulder-to-hip comparison.
6	reject	?	?	?	Cropped alternate view of checked vest, patterned shirt and jeans retained at ordinal 7.
7	full	1.5	?	?	Blue checked vest over red patterned shirt with wide jeans and bare feet; enlarged original confirms loose layered torso obscures waist and shoulder-to-hip comparison.
8	reject	?	?	?	Blue checked dress with red vest; same dress ensemble as ordinal 2 with minor outer-layer variation.
9	reject	?	?	?	Fuller view of the repeated checked dress and vest from ordinal 8; minor variation of ordinal 2.
10	reject	?	?	?	Cropped orange checked dress and red vest; recolor variation of the checked dress ensemble already retained.
11	reject	?	?	?	Full orange checked dress and red vest; repeated dress design/colorway with altered pose.
