ordinal	view	build	shoulderHip	waist	evidence
0	detail	?	?	?	Flat cream fleece jacket; no person.
1	detail	?	?	?	Flat green fleece jacket; no person.
2	partial	?	?	?	Green fleece over grey knit and dark jeans; bulky layers and thigh crop prevent reliable proportions.
3	detail	?	?	?	Flat purple fleece vest; no person.
4	partial	?	?	?	Purple vest over purple knit and pink collared shirt; hip crop and layered torso obscure proportions.
5	full	1.5	?	?	Cream utility jacket over yellow knit with brown cropped trousers and flats; loose jacket conceals waist and hip contours.
6	detail	?	?	?	Trouser detail crop of ordinal 5; shoulders absent.
7	full	1.5	?	?	Cream cardigan and cropped cream trousers with patterned flats; loose knit and pocketed hand conceal contours.
8	detail	?	?	?	Trouser detail crop of ordinal 7; shoulders absent.
9	full	1.5	?	1	Fitted brown high-neck top with black cropped trousers and loafers; moderate waist indentation; hair and hands obscure shoulder/hip comparison on enlarged reread.
10	detail	?	?	?	Trouser detail crop of ordinal 9; shoulders absent.
11	reject	?	?	?	Cropped crossed-arm pose of striped-knit ensemble; retain full outfit at ordinal 12 instead.
12	full	1.5	?	?	Striped cream knit with light trousers and dark shoes; neutral basics, loose knit conceals waist.
13	reject	?	?	?	Cropped crossed-arm repeat of navy-knit ensemble; retain full outfit at ordinal 14 instead.
14	full	2	?	?	Navy knit over collared shirt with grey jeans and loafers; masculine casual ensemble, bent leg and loose knit obscure contour axes on enlarged reread.
