ordinal	view	build	shoulderHip	waist	presentation	evidence
0	back	?	?	?	U	Plaid cropped shirt and denim viewed from behind; front contours unavailable.
1	seated	1.5	?	?	D	Black sleeveless mini dress with heels; seated with crossed legs, obscuring waist and hip comparison.
2	reject	?	?	?	D	Reclining alternate pose of the preceding black dress outfit; repetitive view excluded.
3	full	1.5	?	?	D	Dark graphic sweater dress and light heels; loose torso, lifted arm and crossed legs conceal contours.
4	full	1.5	?	?	U	Leopard jacket, graphic tee and patterned trousers; outer layers obscure torso axes.
5	partial	?	?	?	F	Graphic layered top, short skirt, vivid tights and furry hat; distant bundled pose obscures build.
6	full	1.5	?	?	D	White blouse with orange pleated skirt and heels; skirt flare hides hips.
7	full	2	?	?	D	Black long-sleeve top and yellow maxi skirt; gathered skirt conceals hip outline.
8	partial	1.5	?	?	U	Brown furry vest over light top and jeans; forward lean and vest obscure torso contours.
9	full	1.5	?	?	D	Long black coat with short hem, tights and ankle boots; coat conceals waist and hips.
10	full	1.5	?	?	D	Black-and-white striped short dress with boots; distant leaning pose and loose dress hide contours.
11	back	?	?	?	U	Oversized printed top seen from behind; no front-view body comparison.
12	reject	?	?	?	D	Alternate stairway view of black coat outfit at ordinal 9; repetitive ensemble excluded.
13	full	1.5	?	?	D	White loose collared dress with bow tie and heeled sandals; dress hides waist and hips.
14	partial	?	?	?	U	Olive jacket and bright skirt cropped at upper legs; leaning torso and layers obscure build.
15	full	2	?	?	F	Open black leather jacket, cropped top, striped fitted trousers and patterned heels; jacket and angled stance prevent axis comparison.
16	reject	?	?	?	F	Black lingerie-style bodysuit portrait; underwear-oriented image excluded from outfit intake.
17	partial	1.5	?	?	D	Patterned sleeveless dress with hand on hip; lower-body crop prevents shoulder-to-hip comparison.
18	partial	1.5	?	?	D	Colorful printed sleeveless dress in store; waist-height crop hides hips.
19	full	1.5	?	?	D	White sleeveless top and pale blue high-low skirt; skirt volume conceals hip outline.
20	full	1.5	?	?	D	Long black gown in side-facing stair pose; angle and skirt prevent front contour assessment.
21	full	1.5	?	?	D	Graphic black-and-white top, fringe skirt and tall boots; layered fabric hides waist and hips.
22	full	1.5	?	?	U	Graphic tee, long patterned cardigan and black cropped trousers; open layers conceal contour axes.
23	full	1.5	?	?	D	Pale short flared dress and dark heels against brick wall; crossed arms and flared skirt obscure torso proportions.
