ordinal	view	build	shoulderHip	waist	evidence
0	back	?	?	?	Turned rear/side blouse view with lifted leg; excluded.
1	full	3	?	?	Black eyelet peplum blouse with loose brown trousers and dark shoes; fuller visible build. Peplum and trouser volume conceal hip and waist boundaries.
2	reject	?	?	?	Seated lavender eyelet playsuit; repetitive garment/colorway family relative to retained black playsuit, no added contour support.
3	reject	?	?	?	Lavender playsuit variant with tights and raised leg; repetitive playsuit family relative to retained front black ensemble.
4	full	2.5	?	?	Black eyelet playsuit with pink bag and heeled sandals; moderately fuller visible build. Gathered shorts, pocketed hands and wrap seam conceal natural hip and waist boundaries.
5	detail	?	?	?	Close torso crop of the retained black playsuit; redundant detail.
6	partial	2.5	?	?	Red floral wrap dress with decorative bouquet and bow; moderately fuller visible build. Flared skirt and wrap tie obscure hip and natural waist; feet cropped.
7	back	?	?	?	Rear red wrap-dress view; excluded.
8	back	?	?	?	Rear red floral midi ensemble; excluded.
9	detail	?	?	?	Oblique upper-body closeup of red blouse and floral skirt; insufficient outfit view.
10	full	2.5	?	?	Olive cropped utility jacket over lavender floral dress, dark sandals and sequined bag. Moderately fuller visible build; jacket and flared skirt conceal shoulder/hip and waist boundaries.
11	reject	?	?	?	Another floral wrap-dress colorway with bright tights; repetitive dress family already retained, no additional supported contours.
