ordinal	view	build	shoulderHip	waist	evidence
0	back	?	?	?	Rear black graphic hoodie; front outfit unavailable.
1	detail	?	?	?	Isolated black zip hoodie; no wearer.
2	back	?	?	?	Rear red long-sleeve graphic tee.
3	back	?	?	?	Repeated rear red long-sleeve tee view.
4	partial	2.5	?	?	Grey graphic tee with dark trousers; thigh crop, angled torso and loose hem obscure waist and hip comparison.
5	back	?	?	?	Rear grey tee; no front ensemble.
6	detail	?	?	?	Isolated blue printed short-sleeve shirt.
7	reject	?	?	?	Size-chart graphic with several small figures; not an individual outfit photograph.
8	partial	1.5	?	?	Blue printed shirt tied above white bottoms with white inner top; bent arms, knot and crop conceal body axes.
9	back	?	?	?	Rear tied blue shirt and white bottoms.
10	partial	2.5	?	?	Blue collared printed shirt with dark bottoms; enlarged original confirms loose shirt and pocket hands obscure waist and hips.
11	reject	?	?	?	Same blue collared shirt and dark bottoms as ordinal 10, alternate clasped-hand pose.
