ordinal	view	build	shoulderHip	waist	evidence
0	full	1.5	?	?	black print tee ripped jeans. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
1	full	?	?	?	pink shirt grey shorts. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
2	full	?	?	?	olive cardigan black long skirt. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
3	full	1.5	?	?	red plaid scarf black cutout trousers platforms. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
4	full	?	?	?	pastel tiered mini dress. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
5	full	1.5	?	?	leather jacket flared dark denim heeled boots. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
6	full	1.5	?	?	black leather jacket crop top black shorts. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
7	full	1.5	?	?	cropped denim jacket mesh layer wide denim. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
8	full	?	?	?	white longcoat wide trousers. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
9	full	1.5	?	?	blue plaid maxi dress sheer layer. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
10	full	?	?	?	white blazer yellow sheer maxi dress. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
11	full	?	?	?	black feathered top patterned pencil skirt. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
12	full	?	?	?	pale floral dress colorful sleeves. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
13	full	?	?	?	black coat black wide cropped trousers. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
14	full	1.5	?	?	black cutout mini dress tall boots. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
15	full	1.5	?	?	black silver top black mini skirt sheer layer. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
16	full	1.5	?	?	cropped black jacket print tee blue jeans. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
17	full	?	?	?	black tailored jacket cropped trousers. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
18	full	?	?	?	metallic blouse black draped trousers heels. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
19	full	1.5	?	?	black graphic tee blue lightning trousers. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
20	full	?	?	?	white pink ruffled dress. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
21	reject	?	?	?	two person photo. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
22	full	?	?	?	black lace long dress parasol. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
23	full	?	?	?	layered black shirt long skirt. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
24	full	1.5	?	?	red waistcoat white shirt cutout jeans. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
25	full	1.5	?	?	pink floral tunic matching leggings. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
26	reject	?	?	?	two person photo. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
27	reject	?	?	?	two person photo. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
28	full	?	?	?	pink utility vest pink cargo. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
29	full	?	?	?	blue crop top pink mini skirt rainbow legwarmers. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
30	full	?	?	?	snakeprint oversized shirt mini bottom. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
31	full	?	?	?	purple shirt tiered dark skirt. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
32	full	1.5	?	?	black tailoring crop top black trousers. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
33	full	1.5	?	?	white tee black slim trousers. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
34	full	1.5	?	?	white blouse burgundy mini dress. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
35	full	?	?	?	black print tee yellow sheer maxi skirt. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
36	full	?	?	?	belted grey jumpsuit white heels. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
37	full	?	?	?	red black asymmetric dress. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
38	full	?	?	?	oversized black tee blue wide trousers. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
39	full	1.5	?	?	black print top printed trousers. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
40	full	1.5	?	?	green check crop top wide check trousers. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
41	full	?	?	?	black shirt tie long black skirt. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
42	full	?	?	?	striped tee grey wide trousers. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
43	full	?	?	?	white blouse black corset red floral skirt. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
44	reject	?	?	?	two person photo. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
45	full	?	?	?	black striped cropped jacket long striped skirt. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
46	full	?	?	?	white shirt suspenders olive wide trousers. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
47	reject	?	?	?	two person photo. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
48	full	?	?	?	denim jacket white tee painted white trousers. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
49	full	1.5	?	?	black top white midi skirt. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
50	full	?	?	?	brown patterned belted maxi dress. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
51	full	1.5	?	?	black tee black pleated mini skirt. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
52	full	1.5	?	?	purple sleeves fitted snakeprint set. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
53	full	?	?	?	orange patterned shirt white shorts. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
54	full	?	?	?	oversized navy shirt dress tan cropped trousers. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
55	full	1.5	?	?	beige sleeveless knit black trousers. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
56	full	1.5	?	?	lime fitted romper purple thigh high platforms. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
57	full	?	?	?	black ruffled mini dress. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
58	full	?	?	?	purple sheer overalls black tee. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
59	full	?	?	?	black cardigan belted long white dress. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
60	full	?	?	?	pink top black corset bright skirt platforms. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
61	reject	?	?	?	two person photo. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
62	full	?	?	?	black patterned blazer striped shirt dark trousers. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
63	full	?	?	?	yellow grid layer floral trousers. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
64	full	?	?	?	black sheer cardigan long teal dress. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
65	full	1.5	?	?	red fitted tee pink check mini skirt. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
66	full	?	?	?	black longcoat white blouse mini layers tall boots. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
67	full	?	?	?	grey blazer wide grey trousers. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
68	full	?	?	?	pink crop hoodie orange shorts rainbow legwarmers. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
69	full	?	?	?	leopard shirt black cargo. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
70	full	?	?	?	white ruffled blouse black wide trousers. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
71	full	1.5	?	?	black graphic top ripped black trousers. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
72	full	?	?	?	black shirt layered black skirt trousers. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
73	full	?	?	?	long printed coat white midi dress. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
74	full	?	?	?	pink belted blazer pink tiered skirt. Shoulder/hip balance and waist remain unknown: clothing volume, layers, crop or pose prevent a reliable contour judgment.
