ordinal	view	build	shoulderHip	waist	presentation	evidence
0	seated	?	?	?	U	Dark jacket at cafe table; furniture and layers hide torso.
1	full	1.5	?	?	F	Textured dark jacket with short hem and tall boots; jacket hides proportions.
2	partial	?	?	?	U	Camel coat and large scarf; torso and hips concealed.
3	back	?	?	?	D	Rear three-quarter blouse and tiered skirt view.
4	full	1.5	?	?	U	Pale top and leggings in deep side bend; pose distorts proportions.
5	partial	1.5	?	?	D	Printed wrap dress and leopard coat; outer layer and crop hide comparison.
6	full	1.5	?	?	D	Black halter dress and heels; flared skirt hides hips.
7	partial	1.5	?	?	F	Black bow-neck blouse and fitted trousers while walking; enlarged review confirms angled hips and loose blouse conceal axes.
8	partial	?	?	?	F	Pink furry jacket and bright crop top; outerwear hides contours.
9	full	?	?	?	U	Distant pink coat with dark trousers; insufficient visible torso.
10	seated	1.5	?	?	U	Striped dark sweater; crossed arms and seated crop conceal waist and hips.
11	partial	1.5	?	?	D	Long dark sleeveless dress backlit; raised arm and loose dress conceal axes.
12	partial	?	?	?	F	Loose rust crochet blouse and jeans with heels; shoulders cropped and torso draped.
13	partial	1.5	?	?	U	Purple top and patterned trousers; both arms overhead distort contour comparison.
14	seated	1.5	?	?	U	Cream shirt and dark shorts on blanket; seated hips and bent arms.
15	reject	?	?	?	U	Repeated pale-top dark-legging outfit from collection ordinal 892.
16	full	1.5	?	?	U	Dark sleeveless top and denim shorts on play equipment; side view and raised arms.
17	full	1.5	?	?	D	Pink floral dress on railing; flared skirt and extended arms hide natural comparison.
18	seated	1.5	?	?	D	Dark sleeveless dress seated on ledge; bent torso and covered hips.
19	full	?	?	?	U	Small distant blue-top figure in dark garage; insufficient contour detail.
20	partial	1.5	?	?	D	Bright floral dress outdoors; lower body cropped and slight torso rotation.
21	full	1.5	?	?	U	Blue floral tank and pale shorts; crossed legs and hands at hips obscure balance.
22	full	1.5	?	?	F	Red top and long black layer with pale trousers and heels; side pose.
23	back	?	?	?	U	Rear three-quarter teal top and denim shorts; shoulders turned away.
24	partial	1.5	?	?	U	Printed camisole and pale shorts; angled torso and crossed arms behind back.
25	back	?	?	?	U	Rear three-quarter pale shirt and denim shorts.
26	seated	1.5	?	?	D	Floral romper with raised knee and camera; compressed seated pose.
27	reject	?	?	?	D	Repeated pink floral dress and flower crown from collection ordinal 905.
28	partial	2	?	?	D	Layered yellow striped top and pale skirt; tilted close framing and flared skirt hide hip comparison.
29	seated	2	?	?	D	Plaid pinafore over purple tee; seated lap and foreshortened torso.
30	full	?	?	?	X	Leather jacket and plaid shirt with plaid skirt and patterned tights; layered torso obscured.
31	full	1.5	?	?	D	Turquoise halter dress with lace hem; angled stance and flared skirt.
32	partial	?	?	?	U	Green blazer with burgundy scarf; close crop and outerwear conceal build.
33	back	?	?	?	D	Rear view of patchwork dress with laced bodice.
34	full	1.5	?	?	F	Off-shoulder pale top and black shorts with heels; side pose and loose blouse.
35	seated	1.5	?	?	U	White tee and denim shorts seated on step; bent legs hide hips.
36	reject	?	?	?	U	Repeated white-tee denim-short outfit from collection ordinal 923, now prone.
37	full	1.5	?	?	U	Tan cropped sweater and denim shorts; both arms extended and torso leaning.
38	full	1.5	?	?	D	White blouse and tie with dark skirt and tall socks; wide angled stance and flared skirt.
39	full	1.5	?	?	U	White sleeveless top and low-rise jeans; enlarged review confirms oblique stance and belt obscure hip comparison.
40	full	1.5	?	?	D	White tee with blue pinafore skirt and yellow socks; high-waisted skirt conceals contours.
41	partial	1.5	?	?	F	Purple cropped top and denim shorts; low-angle camera and turned torso.
42	full	1.5	?	?	D	Purple fringe dress with scarf; bent posture and hands at waist.
43	full	1.5	?	1	D	Striped fitted dress and heels; visible moderate waist taper, oblique stance limits shoulder-hip comparison.
44	full	1.5	?	?	D	Loose cream short dress with belt; draping conceals waist and hip contours.
45	full	?	?	?	D	Yellow jacket and pleated white skirt; raised arm and structured layers conceal proportions.
46	full	1.5	?	?	U	Gray blazer over neon blouse with dark trousers; jacket hides waist and hips.
47	full	1.5	?	?	U	Dark varsity jacket and long blouse with trousers; layered torso hides contours.
