ordinal	view	build	shoulderHip	waist	evidence
0	detail	?	?	?	Isolated trousers with no wearer.
1	detail	?	?	?	Side trouser detail; upper outfit and shoulders cropped out.
2	detail	?	?	?	Isolated trousers with no wearer.
3	detail	?	?	?	Waist and upper-leg trouser detail; outfit cropped out.
4	detail	?	?	?	Isolated trousers with no wearer.
5	detail	?	?	?	Lower-torso trouser detail; shoulders and upper outfit absent.
6	detail	?	?	?	Isolated trousers with no wearer.
7	back	?	?	?	Rear-facing cropped trouser view.
8	detail	?	?	?	Isolated trousers with no wearer.
9	back	?	?	?	Rear-side walking trouser view.
10	detail	?	?	?	Isolated trousers with no wearer.
11	full	1.5	?	?	Full standing collared overshirt and trouser outfit; relatively slight visible build. Open layered shirt and crossed-leg lean obscure waist and shoulder-to-hip comparison.
12	reject	?	?	?	Digitally modeled dress scene; enlarged original explicitly bears DIGITALLY MODELED watermark. Excluded from real-photo catalog.
13	reject	?	?	?	Garment line drawing, not a real outfit photograph.
14	reject	?	?	?	Digitally modeled dress scene with matching digital-model watermark; not real-photo evidence.
15	reject	?	?	?	Garment line drawing, not a real outfit photograph.
16	reject	?	?	?	Digitally modeled dress scene; enlarged original explicitly bears DIGITALLY MODELED watermark.
17	reject	?	?	?	Cropped matching digitally modeled silver-dress scene; not real-photo evidence.
18	reject	?	?	?	Digitally modeled lavender-dress scene with digital-model watermark; not real-photo evidence.
19	reject	?	?	?	Cropped matching digitally modeled lavender-dress scene; not real-photo evidence.
20	reject	?	?	?	Digitally modeled pink-dress scene with digital-model watermark; not real-photo evidence.
21	reject	?	?	?	Cropped matching digitally modeled pink-dress scene; not real-photo evidence.
22	reject	?	?	?	Digitally modeled striped-dress scene; enlarged original explicitly bears DIGITALLY MODELED watermark.
23	reject	?	?	?	Cropped matching digitally modeled striped-dress scene; not real-photo evidence.
