ordinal	view	build	shoulderHip	waist	evidence
0	seated	2	?	?	Seated denim collared jacket and jeans workwear ensemble; bent torso and jacket obscure proportions.
1	back	?	?	?	Rear denim jacket view excluded.
2	partial	2	?	?	Blue checked overshirt over tee and dark trousers; angled stance and open layers hide waist and hips.
3	reject	?	?	?	Repeated checked overshirt outfit and pose variant of ordinal 2.
4	partial	?	?	?	Cream fleece jacket over grey collared shirt and jeans; bulky layers hide build and contours, confirmed enlarged.
5	reject	?	?	?	Repeated cream fleece jacket variant of ordinal 4, no distinct outfit admission.
6	partial	2	?	?	Cable V-neck sweater over collared shirt with jeans and cap; raised arm and knit layers obscure contours.
7	reject	?	?	?	Repeated cable sweater outfit on bicycle; pose variant excluded.
8	partial	?	?	?	Striped overshirt and jeans in side stance; angled layered torso does not support body axes.
9	back	?	?	?	Rear striped overshirt view excluded.
10	partial	2	?	?	Dark shawl cardigan over plain tee and grey trousers; neutral ensemble, heavy knit hides waist, confirmed enlarged.
11	reject	?	?	?	Repeated cardigan outfit in side pose excluded.
12	detail	?	?	?	Shoulderless trouser crop, not an outfit reference.
13	detail	?	?	?	Side trouser crop lacks upper outfit.
14	detail	?	?	?	Rear trouser pocket detail excluded.
15	partial	1.5	?	?	Cropped graphic tee with fitted black skirt and belt; crop and tee hem hide independent waist and hip contours.
16	detail	?	?	?	Graphic tee chest crop excluded.
17	reject	?	?	?	Repeated black graphic tee and skirt styling with print and length variant; excluded to avoid redundant ensemble.
18	detail	?	?	?	Graphic tee torso detail excluded.
19	partial	1.5	?	?	Fitted sleeveless top and high gathered tie-waist trousers; feminine ensemble, tied volume obscures hip and waist axes, confirmed enlarged.
20	detail	?	?	?	Closer top crop repeats ordinal 19 and lacks lower ensemble.
21	partial	1.5	?	?	Graphic tee with short pleated skirt; distinct skirt-led ensemble, flared pleats and tee conceal body contours, confirmed enlarged.
22	detail	?	?	?	Graphic tee chest detail excluded.
