ordinal	view	build	shoulderHip	waist	evidence
0	reject	?	?	?	Repeat plaid-shirt outfit; retain clearer standing frontal view 1 instead of leaning crop.
1	partial	1.5	1	?	Plaid utility shirt and dark trousers; smaller apparent build and shoulders wider than hips visible on enlarged front view; untucked drape and pocket hand obscure waist.
2	partial	2	?	?	Tan utility jacket over blue collared shirt and dark trousers; medium apparent build; structured layered jacket hides contours.
3	detail	?	?	?	Close-up of jacket chest and collar, not an outfit view.
4	partial	2	?	?	Black utility overshirt over gray knit and blue jeans; medium apparent build; outer layer and pocket arm hide contours.
5	reject	?	?	?	Repeated black utility overshirt outfit and pose variation of 4.
6	reject	?	?	?	Repeated utility jacket and collared knit layering; minor colorway variation does not add a distinct ensemble.
7	partial	1.5	?	?	Olive diamond-quilt utility jacket with dark crewneck and trousers; smaller apparent build; quilt structure and angled stance hide body axes.
8	reject	?	?	?	Further quilt-jacket and jeans colorway; repeated layered casual ensemble.
9	partial	?	?	?	Blue quilted utility jacket over contrasting hooded sweatshirt and jeans; distinct hooded workwear layering; crop and bulky layers leave body axes unknown.
10	reject	?	?	?	Repeated jacket over plaid shirt and jeans; colorway and setting variation only.
11	reject	?	?	?	Repeated diamond-quilt jacket with dark tee and jeans, a colorway of 7.
12	partial	1.5	?	?	Blue velvet tie-waist blazer over white neckline and black trousers; feminine shaped tailoring, smaller apparent build; tie and structured blazer conceal natural waist and hip balance.
13	back	?	?	?	Rear view of velvet blazer and trousers.
14	detail	?	?	?	Shoulderless trouser-and-shoe product crop, insufficient ensemble.
15	detail	?	?	?	Close-up of trouser pocket and waistband.
16	detail	?	?	?	Shoulderless jeans and boots crop, insufficient ensemble.
17	detail	?	?	?	Close-up of denim waistband and fabric.
18	partial	1.5	?	?	Sheer embroidered tie-neck peplum blouse and black trousers; feminine romantic separates, smaller apparent build; loose sleeves and gathered hem obscure contours.
19	back	?	?	?	Rear view of sheer blouse ensemble.
20	partial	1.5	?	1	Sweetheart ribbed knit with scalloped cuffs and blue jeans; feminine fitted separates, smaller apparent build and moderate waist narrowing visible on enlargement; angle and hair obscure shoulder comparison.
21	reject	?	?	?	Repeated sweetheart knit and jeans ensemble with different hand pose.
22	detail	?	?	?	Shoulderless checked-trouser and flat-shoe crop, insufficient ensemble.
23	detail	?	?	?	Close-up of checked trouser pocket and waistband.
24	full	1.5	?	?	Printed bib overalls over green tee with lace-up boots; neutral playful workwear, smaller apparent build; loose bib and trousers hide waist and hip contours on enlargement.
25	reject	?	?	?	Same printed overalls ensemble with changed arm pose.
26	partial	1.5	?	?	Short black embroidered cardigan over gathered printed skirt ensemble; smaller apparent build; raised arm, cardigan and skirt obscure body axes.
27	detail	?	?	?	Close-up of cardigan embroidery and neckline.
28	reject	?	?	?	Repeated cardigan and printed skirt ensemble with head and arm pose change.
29	reject	?	?	?	Repeated cardigan and printed skirt ensemble with hand pose change.
30	partial	1.5	1	?	Printed short-sleeve collared shirt with dark jeans; masculine casual ensemble, smaller apparent build and shoulders wider than hips visible on enlarged frontal view; loose shirt obscures waist.
31	detail	?	?	?	Close-up of printed shirt sleeve and shoulder.
32	full	2.5	?	?	Printed pinafore over black tee with dark boots; fuller apparent build; skirt held outward and bib layers hide waist and hip comparison.
33	detail	?	?	?	Close-up of printed fabric and gathered waistband.
34	full	2.5	?	?	Short-sleeved printed gathered dress and lace-up boots; fuller apparent build visible on enlargement; flared skirt and pocket hands obscure hip and natural waist contours.
35	detail	?	?	?	Close-up of printed bodice and gathered seam.
