ordinal	view	build	shoulderHip	waist	evidence
0	full	?	?	?	Long dark raincoat over gathered purple dress with knee boots outdoors. Distinct layered outfit; coat, oblique walking pose and gathered fabric obscure body axes.
1	back	?	?	?	Rear gathered dress close view, excluded.
2	full	2.5	?	?	Black gathered short-sleeve dress with heeled sandals. Moderately fuller visible build; wide sleeves, hands in pockets and gathered skirt conceal shoulder/hip and natural waist boundaries.
3	back	?	?	?	Rear neckline and dress closeup, excluded.
4	reject	?	?	?	Burgundy version of gathered short-sleeve dress with sandals; repetitive colorway and oblique pose without new contour evidence.
5	back	?	?	?	Rear/side view of burgundy dress, excluded.
6	full	3	?	?	Black sleeveless tied dress with white flats. Fuller visible build; side-on stance and waist tie prevent shoulder/hip balance and natural waist judgment.
7	detail	?	?	?	Torso and waist-tie closeup of dress at 6, redundant detail.
8	partial	1.5	?	?	Black sleeveless tied dress in near-front view, feet cropped. Smaller visible build adds a different supported build reference from 6; tilt, hands at hips, tie and skirt conceal reliable hip/waist boundaries.
9	back	?	?	?	Rear neckline and tied-dress closeup, excluded.
10	reject	?	?	?	Closed chunky cardigan and jeans; repeated view of the fuller outfit context at 11.
11	partial	?	?	?	Open dark chunky cardigan over light top and blue jeans with teal knit cap. Neutral layering; bulky sleeves and torso drape conceal body boundaries, lower legs cropped.
