ordinal	build	shoulderHip	waist	view	clothing	evidence
1	?	?	?	partial	Oversized white hoodie and lace skirt.	Loose sleeves and trunk hide build; skirt and crop hide local contours.
2	1.5	?	?	partial	White fitted blouse and pink flared skirt.	Narrow upper trunk supports approximate build; sleeves and flared skirt hide shoulder and hip comparison.
3	1.5	?	?	partial	Black ruffled blouse and skirt.	Narrow trunk and arms support build; tailored waist and flared lower panels obscure local axes.
4	?	?	?	partial	Colorful kimono and pink obi.	Wide sleeves and wrapped bodice obscure underlying contours.
5	?	?	?	partial	Black cape hoodie with purple straps.	Cape sleeves and loose torso conceal build and local axes.
6	1.5	?	?	partial	Purple mesh jacket and patterned trousers.	Narrow trunk and visible forearms support build; jacket and crop obscure local contours.
7	?	?	?	partial	Oversized black and blue graphic top.	Loose long top covers trunk and hips; small exposed leg segment is insufficient.
8	?	?	?	reject	Tie-dyed tote bags.	Product-only photograph; no body present.
9	1.5	?	?	partial	White tank, open blue jacket and wide jeans.	Visible arm and fitted upper trunk support build; jacket, raised arm and roomy hips prevent local comparison.
10	?	?	?	partial	Black shorts and white sneakers.	Legs visible but upper torso missing; do not extrapolate whole build from legs alone.
11	?	?	?	reject	Fruit-shaped fabric accessories.	Product-only photograph; no body present.
12	1.5	?	?	seated	Black tank and striped green trousers.	Visible arms and fitted upper trunk support build; seated oblique pose distorts waist and hip comparison.
13	3	?	?	partial	Cloud-print tank and loose blue trousers.	Broad upper trunk and upper arms support fuller build; hands and gathered waistband obscure local comparison.
14	1.5	0	1	full	Rust short-sleeve jumpsuit.	Relatively narrow arms and trunk; shoulder and hip widths appear similar with moderate waist indentation.
15	3	?	?	partial	Black zip jacket and dark trousers.	Broad trunk and visible forearm support fuller build; jacket and oblique pose hide local contours.
16	3	?	?	partial	Checked short-sleeve shirt and dark trousers.	Broad trunk and arms support fuller build; arms spread and loose shirt prevent local comparison.
17	3	?	?	partial	Olive jacket over checked shirt.	Broad trunk and substantial arms support build; layered outerwear hides local contours.
18	3	?	?	partial	Floral short-sleeve shirt.	Broad trunk and exposed forearms support build; loose hem and angled pose obscure local axes.
19	?	?	?	partial	Blue suit, white shirt and floral tie.	Tailored jacket, bent arms and cropped hips leave insufficient independent build cues; local contours are concealed.
20	2.5	?	?	partial	Black-white checked shirt and tan trousers.	Moderately broad trunk and visible forearms support build; loose shirt and hands in pockets hide waist and hips.
21	3	?	?	partial	Floral shirt and dark trousers.	Broad trunk with visible arms supports fuller build; sideward walking pose prevents local comparison.
22	?	?	?	partial	Gray wide cargo trousers and cropped top.	Upper trunk is cropped and trousers conceal leg contours; build remains unknown.
23	?	?	?	detail	Close view of gray cargo waistband.	Garment detail crop lacks sufficient body context.
24	1.5	?	?	partial	Black distressed sweater and leather-look miniskirt.	Narrow hips and visible thighs support approximate build with modest upper trunk; loose knit hides local axes.
25	?	?	?	partial	Black distressed sweater and leather-look skirt.	Turned torso, raised forearms and heavy knit hide sufficient comparative body cues.
26	?	?	?	partial	Black washed flared trousers and cropped top.	Torso and shoulders missing; lower-body contours alone do not establish overall build.
27	1.5	?	?	partial	Black belted sleeveless dress.	Narrow trunk and exposed arm support build; oblique crop and belt shaping prevent local comparison.
28	?	?	?	detail	Black hooded zip top.	Head and upper-chest crop with raised arm lacks sufficient body context.
29	3	?	?	partial	Black corseted bodice and tiered skirt.	Broad exposed arms, trunk and thighs support fuller build; corset and skirt hide local axes.
30	1.5	?	?	partial	Black lace-up bodice and belted pleated miniskirt.	Narrow arms and visible thighs support build; rigid bodice and skirt flare invalidate local comparison.
31	1.5	?	?	partial	Red plaid lace-up bodice and black skirt.	Narrow arms and modest trunk width support build; corset shaping and crop hide local axes.
32	2	?	1	partial	Black puff-sleeve blouse and short skirt.	Arms and trunk support intermediate build; moderate waist taper visible, but puffed shoulders obscure width comparison.
33	1.5	?	1	partial	Black contrast-trim blouse and dark trousers.	Narrow arms and trunk support build; visible moderate waist taper, with puff sleeves obscuring shoulders.
34	2	?	?	partial	Brown lace-up corset and black cutout trousers.	Exposed arms and hips support intermediate build; corset and angled stance obscure local axes.
35	3	0	?	partial	Brown lace-up corset and black skirt.	Broad arms and trunk support fuller build; exposed shoulders and close upper hips appear similar in width; corset invalidates waist.
36	1.5	?	?	partial	Black lace bodice and textured trousers.	Narrow arms and trunk support build; bodice structure and oblique pose obscure local axes.
37	1.5	?	?	partial	Black off-shoulder loose dress.	Narrow exposed shoulder region and legs support tentative build; draped sleeves and dress hide local contours.
38	3	?	?	partial	Black fitted zip top and tiered miniskirt.	Broad arms, trunk and thighs support fuller build; skirt held outward and structured top hide local axes.
39	?	?	?	partial	Black plush coat and short skirt.	Heavy coat obscures trunk; visible legs alone do not establish overall build.
40	?	?	?	partial	Plaid coat with plush trim.	Coat construction and wide trim conceal underlying trunk and hips.
41	3	?	?	partial	White cropped tee and black tiered skirt.	Broad arms, trunk and thighs support fuller build; loose tee and skirt flare conceal local contours.
42	3	?	?	partial	Black spider cardigan and dark dress.	Broad trunk and visible legs support fuller impression; thick layers obscure local comparisons.
43	1.5	?	?	partial	Blue suit and pale shirt.	Relatively narrow trunk and arms support build; tailored jacket and turned stance obscure local axes.
44	3	?	?	partial	Gray pullover and navy trousers.	Broad trunk and arms support fuller build; loose knit and hand in pocket hide local contours.
45	?	?	?	partial	Dark suit trousers and boots.	Upper trunk missing and crossed legs obscure body context.
46	2.5	0	0	partial	White shirt, suspenders and dark trousers.	Moderately broad trunk with similar shoulder and hip widths; little visible waist indentation.
47	?	?	?	seated	Tan vest over striped shirt.	Seated leaning pose and layered vest conceal sufficient whole-body cues and local contours.
48	?	?	?	partial	Navy shorts and tan shoes.	Upper torso missing; legs alone do not establish overall build.
49	?	?	?	reject	Black collared shirt laid flat.	Product-only photograph; no body present.
50	1.5	?	?	partial	Striped cropped tee and blue trousers.	Narrow forearms and exposed midriff support build; boxy tee and gathered trousers hide local axes.
51	1.5	?	?	seated	Striped knit vest and green trousers.	Modest trunk and exposed arm support build; seated leaning pose and loose trousers prevent local comparison.
52	3	?	?	partial	Striped knit vest, cream top and dark skirt.	Broad trunk and substantial arms support fuller build; layered knit and skirt hide local contours.
53	?	?	?	partial	Oversized olive sweatshirt and patterned trousers.	Loose trunk and sleeves conceal body contours; visible hand is insufficient.
54	?	?	?	detail	Olive sweatshirt neckline close-up.	Neck and upper-chest garment crop lacks sufficient body context.
55	1.5	?	1	partial	Fitted blue long-sleeve tee and jeans.	Narrow arms and trunk with moderate waist indentation; roomy jeans and hand placement limit hip-width comparison.
56	?	?	?	partial	Purple wide cargo trousers.	Upper trunk missing and voluminous trousers hide leg contours.
57	?	?	?	partial	Black printed joggers and sneakers.	Upper torso missing; loose lower garment cannot establish overall build.
58	2	?	?	partial	Leopard cardigan, black top and dark jeans.	Visible central trunk and hips support intermediate impression; bulky sleeves and bent pose hide local axes.
59	1.5	?	?	partial	Embroidered plush-trim coat and black separates.	Narrow exposed midriff and central trunk support build; coat and raised arms obscure local comparisons.
60	1.5	?	?	partial	Black lace loose tee and dark trousers.	Narrow exposed arms and modest trunk support build; loose tee and crop obscure waist and hips.
61	?	?	?	partial	Dragon-print leggings and platform boots.	Side view of legs with torso cropped; no whole-build or local torso comparison.
62	3	?	?	partial	Green gathered floral dress.	Broad trunk and upper arms support fuller build; gathered skirt, puff sleeves and oblique pose obscure local axes.
63	2.5	?	?	partial	Black coat, tied blouse and jeans.	Substantial central trunk and hips support approximate build; coat, tie and hand hide local contours.
64	2.5	?	?	partial	Navy cropped sweater over floral dress.	Substantial trunk supports build; crossed arm, bulky sleeves and dress prevent local comparisons.
65	2.5	?	?	partial	Navy cropped sweater over floral dress.	Substantial central torso supports approximate build; angled pose and arms conceal waist and shoulders.
66	1.5	?	?	partial	Pastel patterned short-sleeve shirt and jeans.	Narrow exposed arms and legs support build; loose shirt hides waist and hip relationships.
67	1.5	?	?	partial	Pastel patterned short-sleeve shirt and jeans.	Narrow exposed arms and legs support build; loose shirt and bent arm obscure local contours.
68	?	?	?	partial	Black hoodie and buckled shorts.	Torso mostly cropped and loose shorts hide hips; visible knees are insufficient for overall build.
69	?	?	?	partial	Burgundy chunky sweater and plaid flared skirt.	Thick knit and lifted skirt conceal trunk and hip contours.
70	?	?	?	partial	Burgundy chunky sweater and plaid flared skirt.	Bulky sweater and lifted skirt conceal body contours; no sufficient independent cues.
71	3	?	?	partial	Pink crop top and flared skirt with garter trim.	Broad exposed arms and trunk support fuller build; skirt flare and waistband conceal hip and waist comparison.
72	3	?	?	partial	Blue hooded top with peplum and matching trousers.	Broad trunk and arms support fuller impression; hoodie construction and peplum hide local axes.
73	1.5	?	?	partial	Blue hooded top with peplum and matching trousers.	Relatively narrow side torso and arms support build; side pose and peplum invalidate local comparisons.
74	1.5	?	?	partial	Pink tiered dress.	Narrow exposed arms and thighs support build; gathered waist and full skirt hide local contours.
75	3	?	?	partial	Pink tiered dress and sheer jacket.	Broad trunk and visible upper arms support fuller build; gathered garments and lifted leg obscure local axes.
76	3	?	?	partial	Pink heart-bodice flared dress.	Broad exposed arms, trunk and thighs support fuller build; gathered skirt hides local contours.
77	1.5	?	?	partial	Pink heart-bodice flared dress.	Narrow arms and visible thighs support build; flared skirt and tilted pose obscure local comparison.
78	1.5	?	?	partial	Black fitted hooded jacket and trousers.	Narrow trunk and arms support build; rigid jacket panels conceal underlying waist and shoulder contour.
79	?	?	?	reject	Three views of distressed black trousers.	Product-only composite; no body present.
