ordinal	view	build	shoulderHip	waist	evidence
0	reject	?	?	?	Navy gathered-neck dress and boots repeat the dress construction retained in the fuller-build front view at ordinal 5; colorway and seated pose excluded.
1	reject	?	?	?	Repeated seated pose of ordinal 0 navy dress.
2	reject	?	?	?	Floral colorway of the gathered-neck dress and boot ensemble retained at ordinal 5.
3	detail	?	?	?	Raised-arm close crop of floral dress, insufficient outfit view.
4	reject	?	?	?	Side pose of the same burgundy dress retained at ordinal 5.
5	full	3	?	?	Burgundy patterned gathered-neck dress and pointed black ankle boots; fuller apparent build; flared skirt and hand at waist conceal hip and waist comparison; enlarged reread; distinct from all 80 prior source admissions.
6	reject	?	?	?	Gray colorway repeats the gathered-neck dress and boot ensemble retained at ordinal 5.
7	reject	?	?	?	Raised-arm pose repeats ordinal 6 gray dress.
8	reject	?	?	?	Black colorway repeats the gathered-neck dress and boots retained at ordinal 5.
9	reject	?	?	?	Seated crop repeats ordinal 8 black dress.
10	reject	?	?	?	Raised-arm pose repeats the printed top and burgundy skirt retained at ordinal 11.
11	partial	1.5	?	?	Printed long-sleeve gathered top with wide belt and burgundy skirt; relatively narrow apparent build; belt and flared skirt conceal natural waist and hip proportions; enlarged reread; distinct from prior source admissions.
