ordinal	view	build	shoulderHip	waist	presentation	evidence
0	reject	?	?	?	U	Cream tee and shorts cafe scene; unusually synthetic-looking rendering, photographic origin uncertain so excluded.
1	detail	?	?	?	U	Drawstring and button detail without an outfit.
2	detail	?	?	?	U	Repeated drawstring fabric close-up.
3	reject	?	?	?	U	White tee and shorts cafe scene; photographic origin uncertain and near-repeat of ordinal 0.
4	detail	?	?	?	U	Shorts close-up excludes shoulders and most torso.
5	partial	2	?	?	C	Blue polo with dark trousers; loose untucked hem hides waist and hip contours on enlarged review.
6	back	?	?	?	C	Rear blue polo view.
7	partial	2	1	?	C	Blue polo tucked into belted dark trousers; shoulders visibly wider, bloused shirt prevents natural waist labeling on enlarged review.
8	reject	?	?	?	C	Black polo and belted dark trousers repeat the ensemble at ordinal 7 with color and angle change.
9	reject	?	?	?	C	Navy polo and belted dark trousers repeat ordinal 7.
10	partial	2	?	1	U	Green crewneck tee with dark trousers; modest waist taper visible enlarged, pocket hand and hem obscure hip comparison.
11	back	?	?	?	U	Rear blue crewneck tee view.
12	detail	?	?	?	U	Pale sweatpants product crop lacks shoulders and torso.
13	reject	?	?	?	U	Repeated pale sweatpants detail from ordinal 12.
14	full	?	?	?	U	Navy robe and plaid pajamas; robe obscures body contours.
15	reject	?	?	?	U	Repeated robe and pajama outfit from ordinal 14.
16	partial	2	?	?	C	Open pale button-up over white tee and pale trousers; layering hides waist and hip contours.
17	reject	?	?	?	C	Side view repeats pale shirt and trousers from ordinal 16.
18	reject	?	?	?	C	Brown button-up with blue jeans repeats a prior American Tall admission, confirmed on prior comparison sheet ordinal 6.
19	reject	?	?	?	C	Turned view repeats brown shirt and jeans from ordinal 18.
20	reject	?	?	?	C	Green shirt and jeans repeat ordinal 18 with shirt color change.
21	reject	?	?	?	C	Another angle of repeated green-shirt jeans ensemble.
22	detail	?	?	?	U	Red plaid pajama trousers with shoulders cropped; full outfit retained at ordinal 23.
23	full	1.5	?	?	U	Navy tee and red plaid pajama trousers; loose tee and pocket hands hide waist and hips.
24	reject	?	?	?	U	Cropped plaid pajamas repeat the basic tee and sleep-trouser ensemble in another color.
25	detail	?	?	?	U	Plaid waistband close-up.
26	reject	?	?	?	U	Another cropped plaid pajama colorway, no distinct full-outfit evidence.
27	detail	?	?	?	U	Plaid drawstring close-up with hands.
28	reject	?	?	?	U	Pale plaid pajama colorway repeats the retained sleepwear ensemble.
29	detail	?	?	?	U	Pale plaid waistband close-up.
30	reject	?	?	?	U	Gray plaid pajama side crop repeats the retained sleepwear ensemble.
31	reject	?	?	?	U	Gray plaid pajama front crop repeats the retained sleepwear ensemble.
32	reject	?	?	?	U	Dark blue plaid pajama crop repeats the retained sleepwear ensemble.
33	reject	?	?	?	U	Dark blue plaid pajama side crop repeats ordinal 32.
34	reject	?	?	?	U	Navy and yellow plaid pajama crop repeats the retained sleepwear ensemble.
35	reject	?	?	?	U	Another angle of navy and yellow pajama crop.
