ordinal	view	build	shoulderHip	waist	evidence
0	detail	?	?	?	Isolated trouser multipack; no person or outfit.
1	detail	?	?	?	Isolated shorts multipack; no person.
2	detail	?	?	?	Isolated shorts colorways; no person.
3	detail	?	?	?	Cargo shorts product montage; no person.
4	detail	?	?	?	Rear cargo shorts product montage; no person.
5	detail	?	?	?	Work trousers product montage; no person.
6	detail	?	?	?	Cargo trousers product montage; no person.
7	detail	?	?	?	Shoulderless trouser-focused crop; fuller outfit visible at ordinal 8.
8	seated	1.5	?	?	Enlarged original: black scoop tank, draped harem trousers and pale sandals; perched on stool with raised bent leg and leaning torso obscuring proportional axes.
9	detail	?	?	?	Shoulderless harem-trouser crop; outfit shown with additional layer at ordinal 10.
10	full	1.5	?	?	Open blue overshirt, muted tank and harem trousers with sandals; loose layer and gathered trousers conceal contours.
11	partial	1.5	?	?	Enlarged original: black crew tee over gathered black trousers; lower legs cropped and hands/cloth obscure hip boundary.
12	reject	?	?	?	Repeated black crew tee and black trouser basic ensemble; different pose does not supply outfit variety.
13	reject	?	?	?	Repeated black crew tee and trouser ensemble with minor sleeve mark; seated crop adds no distinct outfit.
14	reject	?	?	?	Repeated black tee and black trouser ensemble and pose.
15	back	?	?	?	Rear cropped trouser view; exclude.
16	detail	?	?	?	Flat trousers only; no person.
17	back	?	?	?	Rear cropped trouser colorway view; exclude.
18	detail	?	?	?	Flat trousers only; no person.
19	detail	?	?	?	Hanging tee only; no person.
20	back	?	?	?	Rear tee view; exclude.
21	detail	?	?	?	Hanging trousers only; no person.
22	detail	?	?	?	Shoulderless side trouser crop; exclude product-focused detail.
23	detail	?	?	?	Hanging tee only; no person.
24	partial	2	?	?	Enlarged original: black pocket tee and tan shorts; neutral basics, lower legs cropped, hands and loose shirt hide waist/hip boundaries.
25	detail	?	?	?	Hanging tee only; no person.
26	back	?	?	?	Rear white tee view; exclude.
27	detail	?	?	?	Hanging long-sleeve knit only; no person.
28	full	1.5	?	?	Green crew knit with dark straight jeans and pale flat shoes; crossed arms obscure waist and asymmetrical stance hides balance.
29	detail	?	?	?	Hanging tee only; no person.
30	detail	?	?	?	Close side upper-body tee crop, almost no lower ensemble; exclude product-focused detail.
