ordinal	view	build	shoulderHip	waist	presentation	evidence
0	full	1.5	?	?	D	White flared dress and dark belt; flare hides hips.
1	full	1.5	?	?	F	White cropped top and shorts with tall boots; leaning pose hides axes.
2	full	1.5	?	?	D	Black tunic dress with cream scarf and boots; loose torso hides contours.
3	reject	?	?	?	D	Repeated black tunic and scarf ensemble from 1058.
4	full	1.5	?	?	D	White asymmetric dress with heels; moving drape hides contours.
5	back	?	?	?	F	Rear-facing cream blouse and brown shorts.
6	full	1.5	?	?	D	Floral maxi dress with raised knee; pose and skirt hide axes.
7	full	1.5	?	?	D	Tan patterned maxi dress; raised arms and loose skirt hide axes.
8	reject	?	?	?	D	Repeated tan maxi dress from 1063.
9	full	1.5	?	?	F	Black blazer over blouse and shorts with boots; layers hide contours.
10	full	1.5	?	?	D	White lace short dress and yellow scarf; loose cut hides waist and hips.
11	seated	1.5	?	?	D	Floral dress and hat on swing; seated pose hides proportions.
12	full	2	?	?	U	Black sleeveless jumpsuit; angled hip and crossed legs limit comparison.
13	partial	?	?	?	U	Dark blazer portrait with crossed arms; covered torso and crop.
14	reject	?	?	?	U	Near-monochrome close leather-jacket portrait, insufficient outfit view.
15	back	?	?	?	F	Rear-facing black peplum top and trousers.
16	full	1.5	?	?	U	Burgundy blazer and dark jeans; outer layers obscure axes.
17	full	1.5	?	?	F	White tank, fitted blue jeans and heels; enlarged view confirms turned torso and hand obscure frontal axes.
18	full	1.5	?	?	U	Dark layered shirt and loose trousers; layers hide waist and hips.
19	full	1.5	?	?	D	Multicolored fitted maxi dress and boots; angled pose and skirt hide comparison.
20	reject	?	?	?	U	Open blouse and underwear-oriented portrait; not an outfit reference.
21	partial	1.5	?	?	D	Black lace-bodice dress portrait; gathered skirt and crop conceal hips.
22	full	1.5	?	?	D	Burgundy sweater, short dark skirt and long socks; loose layers obscure contours.
23	full	1.5	?	?	D	Cream flared dress with patterned scarf and heels; skirt hides hips.
24	partial	?	?	?	U	Reclining dark jacket and white top; pose and layers obscure build.
25	partial	1.5	?	?	F	Red patterned loose belted tunic; gathered cloth hides axes.
26	full	1.5	?	?	D	Dark dress and red heels beside car; lean and flare hide contours.
27	partial	1.5	0	1	D	Fitted strapless black mini dress; enlarged frontal view supports smaller-intermediate build, balanced shoulders and hips, moderate waist indentation.
28	full	1.5	?	?	D	Black short flared dress and heels; gathered skirt hides hips.
29	full	1.5	?	?	D	Turquoise belted short dress; lifted bent leg and arms hide axes.
30	full	1.5	?	?	D	Blue patterned maxi dress; long loose skirt hides hips.
31	full	1.5	?	?	U	Dark jacket with fitted jeans and boots; crossed legs and layers obscure axes.
32	full	1.5	?	?	D	Black sleeveless shift with cream trim; loose cut and lean hide contours.
33	full	2	?	?	D	Red short-sleeve knee dress; loose silhouette hides waist and hips.
