ordinal	view	build	shoulderHip	waist	presentation	evidence
0	partial	1.5	?	?	U	Brown long-sleeve crewneck and black trousers; hands cross waist and crop limits hip outline.
1	back	?	?	?	U	Rear view of brown crewneck outfit; excluded.
2	partial	?	?	?	U	Olive drawstring shorts with gray top cropped below chest; no whole-torso build judgment.
3	back	?	?	?	U	Rear shorts crop; no front contours.
4	partial	?	?	?	U	Tan trousers and white sneakers beneath cropped blue top; torso missing.
5	back	?	?	?	U	Rear tan-trouser view; excluded.
6	partial	1.5	?	?	U	Gray textured tee with black trousers; relaxed hem and hand in pocket obscure waist and hips.
7	back	?	?	?	U	Rear gray tee view; excluded.
8	partial	1.5	1	?	C	Navy textured open-collar polo and cream trousers; enlarged view supports wider shoulders, but bloused knit hem obscures actual waist indentation.
9	back	?	?	?	U	Rear navy polo view; excluded.
10	reject	?	?	?	C	Sage polo and cream trousers repeat the preceding polo ensemble as a minor colorway; enlarged view also has hands altering hip contour.
11	back	?	?	?	U	Rear sage polo view; excluded.
12	reject	?	?	?	C	Cream polo and dark trousers repeat the same polo-and-trouser styling with a minor color change.
13	back	?	?	?	U	Rear cream polo view; excluded.
14	reject	?	?	?	C	Taupe polo and dark trousers repeat the same collared knit ensemble; colorway excluded.
15	back	?	?	?	U	Rear taupe polo view; excluded.
16	reject	?	?	?	C	Green zip-neck knit and dark trousers provide another near-identical polo-style ensemble; repetitive variant excluded.
17	back	?	?	?	U	Rear green knit view; excluded.
18	reject	?	?	?	U	Flat tee bundle without a wearer.
19	reject	?	?	?	U	Flat hoodie bundle without a wearer.
20	reject	?	?	?	U	Flat tee color assortment without a wearer.
21	reject	?	?	?	C	Tight crop of olive overshirt ensemble; more informative full view retained at ordinal 43.
22	reject	?	?	?	C	Intermediate crop of olive overshirt ensemble; full view retained at ordinal 43.
23	reject	?	?	?	C	Navy overshirt over white tee repeats full outfit retained at ordinal 44.
24	reject	?	?	?	C	Seated navy shirt pose repeats the collared ensemble retained at ordinal 44.
25	reject	?	?	?	U	Seated navy hoodie and joggers; full standing outfit retained at ordinal 46.
26	detail	?	?	?	U	Close pocket and phone detail; no outfit or body reference.
27	reject	?	?	?	U	Cropped navy hoodie and jogger view repeats full outfit at ordinal 46.
28	reject	?	?	?	U	Navy hoodie with denim is near-identical upper-body styling to retained full hoodie view; repetitive crop excluded.
29	reject	?	?	?	U	Green long-sleeve crewneck portrait; alternate full view at ordinal 47 is also repetitive against prior crewneck records.
30	reject	?	?	?	U	Green long-sleeve crewneck crop repeats previously reviewed crewneck-and-dark-trouser styling.
31	reject	?	?	?	U	Gray crewneck seated view repeats existing gray crewneck outfits; no new contour evidence.
32	reject	?	?	?	U	Gray crewneck with green trousers repeats prior gray crewneck ensemble on comparison sheet ordinal 63.
33	seated	2.5	?	?	U	Black tee and olive trousers with pale sneakers; seated pose obscures waist and hip comparison.
34	detail	?	?	?	U	Close green trouser waistband detail; no body reference.
35	reject	?	?	?	U	Gray floral tee angled view repeats clearer retained view at ordinal 36.
36	partial	3	?	?	U	Gray floral tee with black trousers; enlarged angled view and long curved hem conceal comparable waist and hip contours.
37	reject	?	?	?	U	Red crewneck tee and black trousers repeat previously reviewed basic tee ensembles as a colorway.
38	detail	?	?	?	U	Close neckline and face crop; outfit unavailable.
39	reject	?	?	?	U	Seated red tee variant repeats earlier basic tee styling; no new contour evidence.
40	back	?	?	?	U	Rear red tee view; excluded.
41	partial	3	?	?	U	Gray textured crewneck sweater and black trousers; loose body, pocketed hand and crop hide torso axes.
42	detail	?	?	?	U	Close sleeve texture and hand detail; no outfit reference.
43	full	2.5	?	?	C	Olive open overshirt over white tee, black trousers and white sneakers; outer shirt and pocketed hands hide waist and hip boundaries.
44	full	3	?	?	C	Navy collared overshirt, light tee, navy trousers and pale sneakers; layered front and hands conceal waist and hips.
45	full	2.5	?	?	U	White tee and dark navy joggers with pale sneakers; enlarged view confirms loose hanging hem conceals waist and upper hips.
46	full	3	?	?	U	Navy hoodie and matching joggers with white sneakers; long loose hoodie obscures waist and hips.
47	reject	?	?	?	U	Green long-sleeve crewneck full view repeats prior blue and green crewneck ensembles on comparison sheet; no additional contour evidence.
48	reject	?	?	?	U	Gray crewneck with dark trousers repeats the prior gray crewneck outfit represented on comparison sheet ordinal 63.
