ordinal	build	shoulderHip	waist	view	clothing	evidence
1	1.5	?	?	seated	Green short-sleeve jumpsuit.	Narrow arms and trunk support build; seated twist obscures proportions.
2	?	?	?	partial	Olive jacket and jeans.	Boxy jacket and wide denim conceal contours.
3	3	?	?	seated	Black tank and colorful shorts.	Broad arms and fitted torso support build; kneeling pose alters waist and hips.
4	1.5	?	?	full	Dark patterned top and shorts.	Narrow legs and trunk support build; raised arms and leaning pose obscure ratios.
5	3	?	?	full	Printed open shirt and trousers.	Visible arm and torso breadth support build; open shirt obscures waist and shoulders.
6	3	-1	1	full	White tank and green printed trousers.	Broad arms and trunk; visible upper hips exceed shoulders with moderate waist taper.
7	1.5	?	1	full	Pink tank and blue printed trousers.	Narrow arms and fitted trunk with moderate taper; angled pose and trousers obscure hip comparison.
8	2	?	?	seated	Blue tee and dark jeans.	Moderate arm and torso breadth; sideways seated lean obscures proportions.
9	3	?	1	partial	Green cutout tank and dark trousers.	Broad arms and fitted trunk with moderate taper; gathered trousers obscure hips.
10	1.5	?	1	partial	Green cutout tank and dark trousers.	Narrow arms and exposed trunk with moderate taper; leaning pose obscures width comparison.
11	3	?	1	full	White tank and blue jeans.	Broad arms and fitted torso taper; roomy jeans and pocketed hands obscure hip width.
12	1.5	?	1	full	White tank and green trousers.	Narrow arms and fitted trunk taper; trouser volume obscures hip contour.
13	3	?	1	full	White cropped tee and blue trousers.	Broad arms and fitted torso taper; pleated trousers obscure hip contour.
14	1.5	?	1	full	White cropped tee and black trousers.	Narrow arms and trunk taper; loose trousers and tilted stance obscure hip comparison.
15	3	?	1	partial	Burgundy tank and blue trousers.	Broad upper arms and fitted trunk taper; gathered trousers obscure hips.
16	1.5	?	1	partial	Blue tank and denim trousers.	Narrow arms and fitted trunk taper; pocketed hands and loose trousers obscure hips.
17	1.5	?	1	partial	Red cutout tank and black trousers.	Narrow arms and trunk taper; turned stance obscures width balance.
18	1.5	?	?	seated	Purple cutout tank and black trousers.	Narrow arms and fitted trunk; seated lean distorts waist comparison.
19	3	?	1	partial	White cutout tank and black trousers.	Broad arms and fitted trunk taper; loose trousers obscure hips.
20	3	?	1	partial	Green tee and jeans.	Broad arms and fitted trunk taper; hip shift and hand obscure balance.
21	2	?	?	partial	Black open shirt and jeans.	Moderate exposed arm and central torso breadth; shirt hides local contours.
22	2.5	?	?	partial	Gray short-sleeve shirt and dark trousers.	Substantial arm and trunk breadth support build; loose shirt hides waist.
23	?	?	?	seated	Gray sweater and dark trousers.	Seated pose and loose knit conceal reliable trunk and limb contours.
24	?	?	?	detail	Dark trousers and suspenders.	Lower-body crop omits shoulders and most trunk.
25	?	?	?	reject	Burgundy polo product closeup.	No person visible.
26	1.5	?	?	partial	Gray button shirt and olive trousers.	Narrow trunk and sleeves support approximate build; shirt and crossed arms hide waist.
27	2	?	?	partial	White shirt and dark trousers.	Moderate torso and arm contours; shirt blousing obscures waist and hips.
28	?	?	?	seated	Dark patterned shirt.	Forward seated lean and cropped legs prevent reliable overall build judgment.
29	?	?	?	partial	Beige suit and black shirt.	Structured jacket obscures torso and shoulders; legs cropped.
30	?	?	?	detail	Navy trousers in side view.	Lower-body-only crop cannot support overall body axes.
31	?	?	?	partial	Dark suit and patterned shirt.	Structured closed jacket conceals trunk contours.
32	?	?	?	partial	Navy suit and pale shirt.	Tailored jacket and crop hide independent contours.
33	?	?	?	detail	Blue suit trousers.	Shoulders and upper torso absent.
34	1.5	?	?	partial	Green patterned short-sleeve shirt.	Narrow arms and trunk support build; loose shirt obscures waist and hips.
35	?	?	?	partial	Gray blazer and shirt.	Structured blazer conceals shoulders and waist; lower body cropped.
36	?	?	?	detail	Olive trousers and sweater edge.	Upper torso absent from crop.
37	?	?	?	partial	Blue suit and sweater.	Structured jacket conceals independent trunk contours.
38	?	?	?	detail	Black trousers.	Upper trunk and shoulders absent.
39	?	?	?	detail	Blue shorts and shirt hem.	Upper trunk and shoulders absent.
40	1.5	?	?	partial	Striped button shirt.	Narrow trunk and arms; shirt obscures local waist contour.
41	2	?	?	partial	Blue floral shirt and shorts.	Moderate exposed arms and trunk; loose matching set obscures ratios.
42	1.5	?	?	partial	Navy shirt and jeans.	Narrow trunk and arms; shirt hem hides waist.
43	1.5	?	?	partial	Black gathered dress.	Narrow arms and torso; gathered bodice and skirt obscure local contours.
44	3	?	1	partial	Black printed tank and trousers.	Broad arms and fitted trunk with moderate taper; hip shift obscures balance.
45	2	?	?	partial	Green and yellow flared dress.	Moderate arms and trunk; fitted panel and full skirt obscure body ratios.
46	1.5	?	?	partial	Orange knit and layered mini skirt.	Narrow legs and trunk impression; bulky sleeves and skirt hide local axes.
47	?	?	?	partial	Black jacket and ruffled dress.	Bulky jacket and skirt conceal independent contours.
48	3	?	?	partial	Burgundy plaid dress.	Broad arms and trunk; turned pose and gathered dress obscure waist and hips.
49	?	?	?	partial	Red sweatshirt and white skirt.	Oversized top and skirt conceal trunk and arms.
50	?	?	?	partial	Rainbow-trim dark coat and jeans.	Coat conceals trunk and arms.
51	?	?	?	partial	Open rainbow-trim coat.	Open coat still hides both trunk boundaries and arms.
52	2.5	?	?	partial	Black patterned top and skirt.	Substantial exposed arms and torso; shaped top and full skirt obscure local axes.
53	1.5	?	?	seated	Black long dress.	Narrow exposed arms and upper trunk; seated lean and drape hide ratios.
54	3	?	?	partial	Black mesh top and red skirt.	Broad arms through mesh and broad trunk; raised arm and gathered skirt obscure ratios.
55	1.5	?	?	partial	White blouse and red skirt.	Narrow trunk and legs; blousing and full skirt obscure local contours.
56	3	?	1	partial	Black mesh top and ruffled skirt.	Broad arms and fitted trunk taper; full skirt conceals hips.
57	?	?	?	partial	White blouse and black skirt.	Strong side turn and loose sleeves obscure overall breadth.
58	1.5	?	?	partial	Pale blue gathered dress.	Narrow arms and trunk; gathered dress and turn obscure ratios.
