ordinal	view	build	shoulderHip	waist	presentation	evidence
0	detail	?	?	?	U	Shorts and shoes crop; torso absent.
1	partial	1.5	?	?	C	Camouflage tee and cap; arms crossed and hips cropped.
2	partial	?	?	?	C	Plaid outer shirt; distant torso crop.
3	partial	?	?	?	C	Heavy peacoat obscures contours.
4	back	?	?	?	U	Rear tailored jacket and bag.
5	partial	2	?	?	U	Black tank; arm raised and lower body cropped.
6	partial	2	?	?	M	White blazer and pink shirt; structured torso.
7	back	?	?	?	U	Rear walking outfit.
8	partial	1.5	?	?	U	Striped tee; untucked hem conceals waist.
9	partial	1.5	?	?	U	Dark tee; crossed arms obscure torso.
10	partial	1.5	?	?	C	Checked shirt and beanie; leaning torso crop.
11	full	1.5	?	?	C	Sweatshirt, dark trousers and skate shoes; loose top.
12	partial	1.5	?	?	C	Denim jacket over graphic tee; layered torso.
13	seated	1.5	?	?	U	Grey tee seated side-on; bent torso.
14	partial	?	?	?	M	Fur-collar coat obscures proportions.
15	partial	1.5	?	?	U	White hoodie; loose torso and cropped hips.
16	partial	?	?	?	C	Dark jacket over white shirt; layers mask waist.
17	partial	1.5	?	?	M	Camel coat and scarf; waist concealed.
18	full	1.5	?	?	M	Leather coat with dark trousers; long outer layer.
19	full	?	?	?	C	Quilted jacket and grey jeans; bulky side view.
20	partial	1.5	?	?	M	Navy coat over tailored layers; waist hidden.
21	partial	2	?	?	M	Grey structured coat; hands over waist.
22	seated	1.5	?	?	M	Blue jacket on bicycle; bent hip and layers.
23	full	1.5	?	?	M	Leather jacket and tailored trousers; zipped outerwear.
24	back	?	?	?	U	Distant rear jacket view.
25	partial	2.5	?	?	C	Blue jacket and patterned shirt; layered torso.
26	full	1.5	?	?	U	Printed sweater and jeans; sweater drape hides waist.
27	partial	1.5	?	?	M	Navy tailored suit; constructed waist.
28	full	1.5	?	?	M	Grey trench and dark trousers; long outer layer.
29	seated	1.5	?	?	M	Black suit seated on stairs; flexed torso.
30	full	1.5	?	?	C	Blue field jacket and denim; layers hide waist.
31	partial	?	?	?	C	Red puffer; insulated silhouette.
32	full	1.5	?	?	M	Navy blazer, scarf and jeans; layered waist.
33	partial	1.5	?	?	C	Two-tone zip jacket and cap; hands obscure waist.
34	partial	1.5	?	?	M	Grey blazer and long scarf; hips cropped.
35	partial	1.5	?	?	C	Red outer layer and plaid shirt; loose layers.
36	detail	?	?	?	U	Walking trouser view cropped above shoulders.
37	full	2	?	?	X	Open kimono-style layer and ripped cream trousers; loose drape.
38	full	2	?	?	C	Red plaid shirt and patterned trousers; loose shirt.
39	full	2	?	?	C	Pale denim shirt and jeans; untucked hem.
40	full	1.5	?	?	M	Black fitted tailoring; jacket construction obscures body waist.
41	full	2	?	?	M	Dark blazer with pale shirt; layered waist.
42	partial	1.5	?	?	C	Denim shirt over black tee; open layers.
43	reject	?	?	?	U	Distant tiny skateboard subject; insufficient outfit detail.
44	back	?	?	?	U	Rear sleeveless outfit.
45	full	2	?	?	M	Dark blazer and burgundy trousers; loose tee under jacket.
46	full	1.5	?	?	M	Patterned blazer with pale trousers; posed with raised arm.
47	full	1.5	?	?	U	Yellow tee and jeans; tee hem conceals waist.
48	full	2	?	?	U	Dark tank and olive trousers; high camera angle.
49	full	1.5	?	?	M	Black suit and tie; tailored construction.
50	seated	1.5	?	?	U	Striped tank seated with raised knee; torso compressed.
51	full	1.5	?	?	C	Graphic tee, patchwork plaid trousers and boots; shirt hem hides waist.
52	seated	1.5	?	?	U	Sleeveless top squatting; bent torso.
53	full	1.5	?	?	M	Black jacket and narrow trousers; layered torso.
54	full	2.5	?	?	C	Striped button shirt and chinos; loose shirt.
55	partial	1.5	?	?	M	Brown blazer and messenger bag; layers mask waist.
56	seated	1.5	?	?	U	Striped top seated on bench; crossed legs.
57	reject	?	?	?	U	Repeated blazer outfit; retain front view at 58.
58	partial	1.5	?	?	M	Blue blazer and white tee; bag and layers cover hips.
59	back	?	?	?	U	Rear seated backpack view.
60	reject	?	?	?	U	Image is a photographed printed illustration, not a direct outfit photo.
61	back	?	?	?	U	Rear bag/outerwear view.
62	full	1.5	?	?	C	Tucked collared shirt and navy shorts; blouse-like shirt ease.
63	full	1.5	?	?	M	White shirt, waistcoat and tie; tailored waist.
64	partial	1.5	?	?	U	White tee and shoulder bag; cropped lower body.
65	seated	1.5	?	?	U	White tee seated on ledge; bent torso and bag.
66	back	?	?	?	U	Distant rear mountain outfit.
67	partial	1.5	?	?	U	White tee with bags; hands and bags cover hips.
68	back	?	?	?	U	Rear beach walking view.
69	full	1.5	?	?	M	Draped jacket over shoulder and dark trousers; side stance.
70	full	2	1	0	U	Enlarged check: fitted athletic top shows broader shoulders and little waist indentation; upper hips visible above loose shorts.
71	full	1.5	?	?	M	Long dark coat by river; distant loose silhouette.
72	reject	?	?	?	U	Repeated long coat outfit in side view after 71.
73	seated	1.5	?	?	C	Blue puffer vest and chinos seated; padded torso.
74	full	1.5	?	?	C	Denim jacket and camouflage trousers; layered torso.
