ordinal	view	build	shoulderHip	waist	presentation	evidence
0	seated	1.5	?	?	D	Cream sweater and navy skirt; seated on rocks with raised arms, hiding torso proportions.
1	full	1.5	?	?	D	Cream top, short dark skirt, tights and open black coat; moving pose and coat obscure body axes.
2	back	?	?	?	U	Brown layered outfit seen from behind; front contours unavailable.
3	full	1.5	?	?	D	White fitted mini dress with pink strappy heels; sideways lean and hands on rail distort comparison.
4	full	1.5	?	?	D	Patterned sleeveless top and black midi skirt on rocks; distant side pose and skirt hide hips.
5	full	1.5	?	?	D	Loose white tee and long black skirt with flats; draped garments hide waist and hip contour.
6	full	1.5	?	?	U	Floral sleeveless top and denim shorts beside stairs; angled pose and blouse obscure axes.
7	reject	?	?	?	U	Repeated floral top and denim shorts ensemble from ordinal 6; alternate pose adds no outfit coverage.
8	seated	1.5	?	?	F	Brown sheer-sleeved blouse, patterned skirt, tights and heeled boots; seated forward lean hides axes.
9	reject	?	?	?	U	Repeated floral top and denim shorts from ordinal 6 with raised arms; excluded alternate pose.
10	full	1.5	?	?	F	Red patterned top, black jacket, blue printed shorts, tights and knee boots; jacket hides torso contours.
11	full	1.5	?	?	X	Fringed jacket and collared striped top with dark trousers and red heeled boots; layers obscure contours.
12	full	1.5	?	?	X	Dark waistcoat, tie, cropped trousers and ornate heeled ankle boots; loose layering hides proportions.
13	full	1.5	?	?	D	Red and black fitted mini dress with heels; jumping pose twists torso and bends legs.
14	full	1.5	?	?	U	Oversized multicolor windbreaker, black slim trousers and white sneakers; jacket hides torso shape.
15	partial	1.5	?	?	U	Pale blue belted jumpsuit with long necklaces; loose drape and one raised arm conceal axes.
16	partial	?	?	?	D	Orange printed dress under lace parasol; steep low-angle crop prevents reliable build judgment.
17	seated	1.5	?	?	D	Black sleeveless mini dress and boots reclining on tree branch; foreshortening prevents axis comparison.
18	seated	?	?	?	D	Patterned dress while lying on grass; reclined cropped pose obscures build and proportions.
19	partial	1.5	?	?	D	Pale sleeveless dress in wooded archway; raised arm, lean and draping obscure axes.
20	full	?	?	?	D	Loose black belted midi dress with dark boots indoors; low contrast and drape obscure body contours.
21	full	1.5	?	?	D	Black graphic top, long gray skirt, hat and heels; side pose and flowing skirt hide hip contour.
22	full	1.5	?	?	D	Red tiered flamenco dress onstage; flared skirt and twisted dance pose obscure body axes.
23	full	1.5	?	?	D	Black evening dress with leg slit against stone wall; raised bent leg and side lean prevent comparison.
24	seated	?	?	?	D	Red dress while lying sideways on grass; reclined pose conceals reliable body proportions.
25	full	?	?	?	U	Oversized gray tunic with large pocket and leggings; held-out garment conceals build and torso.
26	seated	1.5	?	?	D	Blue and white patterned mini dress beside graffiti; bent leg and overhead arm distort contours.
27	full	1.5	?	?	U	Black tee, jeans, brown boots and black hat; slight side turn and tucked-back arms limit axis comparison.
28	full	1.5	?	?	D	Bright pink belted mini dress outdoors; angled stance and bloused fabric obscure waist and hips.
29	seated	1.5	?	?	U	Blue plaid shirt with shorts while sitting beside stone wall; seated crop hides torso proportions.
30	partial	1.5	?	?	D	Multicolor printed dress with black waist band; arm raised overhead and side angle distort contours.
31	seated	1.5	?	?	D	Floral belted mini dress seated on a stone ledge; bent legs and flared skirt obscure hip contour.
32	partial	?	?	?	U	Orange cropped top and dark trousers amid foreground occlusion; small distant torso cannot support axes.
33	partial	1.5	?	?	U	Loose blue shirt and dark shorts with pale tote; leaning pose and bag obscure torso.
34	partial	1.5	?	?	D	Dark teal strapless patterned dress by railway; angled stance and loose skirt conceal hip contour.
35	seated	1.5	?	?	D	Teal dress and black strappy heels seated on concrete; crossed legs and skirt conceal body axes.
36	full	1.5	?	?	D	Polka-dot blouse, teal skirt, patterned tights and heels; jacket and large tote hide contours.
37	full	1.5	?	?	F	Black cropped top and open long layer with pink printed wide trousers; trousers and outer layer hide contours.
38	full	1.5	?	?	D	Brown shearling-style jacket, gray skirt and black heels; structured jacket and angled pose obscure axes.
39	back	?	?	?	U	Pale striped short outfit seen from behind; no front body reference.
40	seated	?	?	?	U	Olive jacket and plaid shirt with laptop at night; seated dark crop hides body contours.
41	full	1.5	?	?	D	Short black dress, tights and lace-up ankle boots; loose waist and dark fabric obscure axes.
42	detail	?	?	?	U	Close rear-angled hat and floral shoulder crop; insufficient outfit or body coverage.
43	full	1.5	?	?	F	Loose white blouse, dark high-waisted shorts and heels; draped blouse hides torso contours.
44	partial	1.5	?	?	U	Black biker jacket over pale blouse and dark trousers; outer layer and crop hide axes.
45	seated	2	?	?	D	Orange patterned flowing dress seated in doorway; skirt and seated pose hide proportions.
46	full	1.5	?	?	D	Red and white striped short dress and heels on stairs; bent leg and twisted torso prevent comparison.
47	full	1.5	?	?	D	Polka-dot cropped blouse, long black skirt and red heels; dancing with raised arms obscures body axes.
