ordinal	view	build	shoulderHip	waist	evidence
0	detail	?	?	?	Isolated dark crewneck product; no outfit.
1	reject	?	?	?	Side-facing crewneck variant; redundant neutral styling relative to the clearer standing view at 3.
2	detail	?	?	?	Isolated brown crewneck product.
3	full	1.5	?	?	Brown crewneck with loose blue jeans and orange sneakers; lean visible limbs, angled torso and loose layers hide contour axes.
4	detail	?	?	?	Isolated sweatpants product front.
5	detail	?	?	?	Isolated sweatpants product rear.
6	detail	?	?	?	Isolated dark denim product.
7	full	1.5	?	?	White tee with dark straight jeans and white shoes; lean limbs; enlarged original confirms loose tee and pocket pose obscure waist and hip boundary.
8	detail	?	?	?	Isolated pale hoodie product.
9	detail	?	?	?	Isolated checked shirt product.
10	partial	?	?	?	Checked collared overshirt over white tee and dark denim; lower body cropped, loose shirt hides body contours.
