ordinal	view	build	shoulderHip	waist	evidence
0	reject	?	?	?	Shoulderless crop of black sweatshirt and joggers; retain complete view 1.
1	full	2	?	?	Black crewneck and joggers with trainers; intermediate visible build, loose sweatshirt hides waist and hip comparison.
2	reject	?	?	?	Closer pose of the black crewneck and jogger outfit retained at 1.
3	back	?	?	?	Rear view of black sweatshirt and joggers.
4	partial	2	1	?	Fitted black tee and blue jeans; intermediate build and shoulders wider than visible hips; pocketed hand and asymmetric hem obscure waist contour on enlarged inspection.
5	detail	?	?	?	Tee sleeve and chest detail excludes most outfit.
6	reject	?	?	?	Black tee and jeans closely repeat 4; crossed arms conceal torso.
7	reject	?	?	?	Side view of black tee and jeans repeats 4.
8	reject	?	?	?	Crossed-arm crop of black hoodie outfit; retain complete view 10.
9	detail	?	?	?	Rear hood detail without outfit.
10	full	2	?	?	Black hooded sweatshirt and joggers with trainers; intermediate visible build, loose layers hide proportions.
11	reject	?	?	?	Rear-quarter pose of black hoodie outfit retained at 10.
12	partial	2.5	1	1	White fitted band-collar shirt and dark jeans; enlarged frontal view supports intermediate-fuller build, wider shoulders and moderate waist indentation; clothing contours only, no use of source measurements.
13	back	?	?	?	Rear band-collar shirt view.
14	reject	?	?	?	Black color variant of band-collar shirt ensemble retained at 12.
15	reject	?	?	?	Side pose of repeated black band-collar ensemble; source text is not labeling evidence.
16	reject	?	?	?	Classic collared shirt and dark jeans repeat prior Tapered Menswear ensemble with changed shirt color.
17	reject	?	?	?	Side tucked-shirt variant repeats prior collared ensemble.
18	reject	?	?	?	Blue tucked shirt and black trousers repeat prior light-blue tucked-shirt ensemble.
19	back	?	?	?	Rear blue collared shirt view.
20	reject	?	?	?	Green classic shirt is a color variant of existing collared-shirt and jeans ensemble.
21	reject	?	?	?	Side pose of repeated green collared ensemble.
22	reject	?	?	?	White tucked shirt and black trousers repeat prior tucked collared ensemble.
23	back	?	?	?	Rear white collared shirt view.
24	full	3	?	?	Cream long puff-sleeve dress with bright bag; fuller visible build, crossed arms and flared skirt hide proportions.
25	detail	?	?	?	Dress tie and pocket close-up without outfit.
26	seated	3	?	?	Orange printed dress over green shorts with yellow sandals; fuller build, seated raised knee and loose dress hide axes.
27	full	2.5	?	?	Cream button-front dress over green shorts at beach; intermediate-fuller build, raised arm and opened skirt prevent proportion labels.
28	seated	2.5	?	?	Burgundy tee and turquoise shorts with sandals on stone steps; intermediate-fuller build, seated pose and gathered tee hide axes.
29	full	2.5	?	?	White strappy dress over blue shorts on beach; intermediate-fuller build, bent leg and gathered waist obscure contours.
30	full	2	?	?	Pink dress over matching shorts with clear heels; intermediate build, raised leg and pulled skirt obscure hip and waist boundaries.
31	full	3	?	?	Floral dress over pink shorts with yellow sandals; fuller build, lifted skirt and bent knee hide contours.
32	seated	2.5	?	?	White pinafore over red gingham puff sleeves with blue shorts and red shoes at bicycle; intermediate-fuller build, seated pose and apron hide axes.
33	seated	2.5	?	?	Pink polka-dot puff-sleeve dress over white shorts; intermediate-fuller build, seated crossed legs and gathered skirt hide axes.
34	reject	?	?	?	Seated red bell-sleeve dress repeats complete outfit retained at 35.
35	full	2	?	?	Red bell-sleeve wrap dress and pale sandals; intermediate build, raised arm, wrap construction and flared skirt prevent body-axis labels.
