ordinal	view	build	shoulderHip	waist	evidence
0	full	1.5	1	?	Gray collared knit and trousers with dark shoes; smaller-intermediate build and wider shoulders; knit drape conceals waist indentation on enlarged review.
1	back	?	?	?	Rear view of gray collared knit outfit.
2	reject	?	?	?	Closer angled crop of olive collared outfit; retain complete view 3.
3	full	1.5	?	?	Olive collared top and matching trousers with white trainers; smaller-intermediate build; profile and loose layers obscure frontal axes.
4	detail	?	?	?	Shoulderless jeans crop; complete outfit retained at 5.
5	full	1.5	1	?	White tee tucked into blue jeans with dark shoes; smaller-intermediate build and wider shoulders; bloused tuck prevents waist judgment on enlarged review.
6	detail	?	?	?	Shoulderless cream-knit and jeans crop.
7	back	?	?	?	Rear view of cream knit and jeans.
8	reject	?	?	?	Shoulderless white shirt and jeans crop; retain complete profile 9.
9	full	1.5	?	?	White collared shirt, blue jeans and brown shoes in profile; smaller-intermediate build; side view prevents frontal proportion comparisons.
10	partial	1.5	?	?	Navy tee and dark trousers; smaller-intermediate visible build; pocketed hand and angled torso conceal waist and hip comparison.
11	detail	?	?	?	Head and neckline closeup does not show outfit.
12	partial	1.5	?	?	Black collared zip jacket over white tee and dark trousers; smaller-intermediate build; open layers and pocketed hands obscure axes.
13	back	?	?	?	Rear view of black jacket outfit.
14	detail	?	?	?	Closeup of jeans fastening and sweater hem.
15	detail	?	?	?	Closeup of rear jeans waistband label.
16	partial	?	?	?	Dark fleece vest over dark long sleeves and trousers with knit hat; bulky layers and crossed forearm conceal build and contours.
17	reject	?	?	?	Alternate angled pose of fleece vest outfit retained at 16.
18	partial	2	?	?	Turquoise tee and dark shorts with cap; intermediate visible build; pocketed hand and loose hem obscure required axes.
19	detail	?	?	?	Neckline and logo closeup.
20	reject	?	?	?	Closer pose of dark zip hoodie outfit; retain complete view 21.
21	full	2	?	?	Dark zip hoodie over white tee and dark trousers with trainers; intermediate build; thick hoodie obscures contours.
22	reject	?	?	?	Squatting pose of mint polo outfit; retain standing frontal view 23.
23	full	2	1	?	Mint polo and dark trousers with cap and trainers; intermediate build and broader shoulders; straight loose polo hem leaves waist uncertain on enlarged inspection.
24	reject	?	?	?	Closer held-hem crop of turquoise tee and light shorts; retain complete movement view 25.
25	full	1.5	?	?	Turquoise tee and light shorts with white trainers; smaller-intermediate build; raised knee and turned torso obscure frontal axes.
26	detail	?	?	?	Flat product-only turquoise tee front.
27	detail	?	?	?	Flat product-only turquoise tee rear.
28	reject	?	?	?	Closer crop of turquoise long-sleeved top and leggings; retain complete view 29.
29	full	1.5	?	?	Turquoise long-sleeved top and dark leggings with white trainers; smaller-intermediate build; turned torso and loose top conceal comparison axes.
30	full	1.5	?	1	Dark fitted cropped athletic top and loose dark trousers; smaller-intermediate build and moderate visible waist indentation; baggy trousers obscure hip comparison on enlarged review.
31	reject	?	?	?	Bent kneeling pose of athletic outfit retained at 30.
