ordinal	build	shoulderHip	waist	view	clothing	evidence
1	?	?	?	partial	Black kimono sleeves and corset belt.	Wide sleeves and cinched layers conceal independent body contours.
2	1.5	?	?	partial	Red lace-trimmed dress.	Narrow arms and upper torso support build; flared dress hides hips and waist.
3	?	?	?	partial	Oversized black shirt and purple tie.	Raised arms and oversized trunk obscure comparative contours.
4	?	?	?	partial	Black oversized hoodie with purple straps.	Loose sleeves and trunk conceal build and local axes.
5	?	?	?	partial	Black zip jacket with straps.	Bulky outer layer hides trunk and arms.
6	1.5	?	?	full	Teal short-sleeve jumpsuit.	Narrow arms and trunk support build; roomy tailored jumpsuit obscures local shape.
7	2	?	?	full	Black short-sleeve jumpsuit.	Moderate arms and torso support build; tailoring and hand on hip obscure local comparison.
8	?	?	?	reject	Stack of colorful tote bags.	No person visible.
9	?	?	?	reject	Printed tote bags.	Product-only photograph.
10	3	?	?	full	White tank and denim shorts.	Broad trunk and limbs support build; raised arm and tank hem distort waist contour and shoulder comparison.
11	2	?	1	full	White tank and blue shorts.	Moderate trunk and limbs with visible waist indentation; angled stance and loose shorts obscure hip balance.
12	3	0	1	full	White tank and printed trousers.	Broad arms and trunk; roughly balanced shoulders and upper hips with moderate indentation.
13	3	?	1	full	White tank and patterned trousers.	Broad arms and trunk; moderate waist indentation; hand and angled stance limit width comparison.
14	1.5	?	?	partial	Contrast-sleeve tee and jeans.	Narrow arms and upper trunk support build; angled torso and cropped hips limit shape.
15	1.5	?	?	seated	Star tank and rust trousers.	Narrow arms and torso support build; crossed-leg seated pose hides waist-to-hip relationship.
16	1.5	?	?	partial	Black leggings and cropped top.	Narrow visible abdomen and legs support approximate build; shoulders cropped and upper waist incomplete.
17	?	?	?	detail	Snake-print leggings and sneakers.	Calf-only crop cannot support overall build or local torso axes.
18	1.5	?	?	partial	Sheer black embroidered blouse.	Narrow arms and torso visible through blouse support build; drape and crop obscure local axes.
19	?	?	?	detail	Embroidered neckline and necklaces.	Neckline close-up lacks overall body context.
20	1.5	?	?	partial	Burgundy lace tee and black bottom.	Narrow arms and trunk support build; hands pull shirt hem and distort waist contour; crop prevents balance.
21	1.5	?	?	partial	Burgundy lace tee.	Narrow arms and torso support build; strong turn prevents reliable local shape comparison.
22	?	?	?	partial	Pinstripe mini skirt and black top.	Trunk crop and flared skirt provide insufficient independent build cues.
23	?	?	?	detail	Pinstripe skirt buckle close-up.	Garment detail lacks comparative body contours.
24	?	?	?	partial	Purple wide-leg trousers.	Lower-body side view and loose trousers hide build and torso axes.
25	?	?	?	detail	Purple trouser waistband.	Waistband close-up cannot support overall or comparative body labels.
26	1.5	0	1	partial	Black buckle crop top and lace-up shorts.	Narrow torso and limbs; shoulders and upper hips appear similar with moderate waist indentation.
27	2.5	?	1	partial	Black buckle top and red lace-up shorts.	Broader torso and arms support build; visible moderate indentation; hands and slight turn limit hip comparison.
28	1.5	?	?	partial	Glossy black lace-up corset outfit.	Narrow arm and trunk support build; turned pose and corsetry invalidate local shape.
29	3	?	?	partial	Glossy black corset and shorts.	Broad arms and upper trunk support build; corset shaping prevents waist inference and arms cover hip edges.
30	2	?	?	partial	Black lace-up corset dress.	Moderate arms and trunk support build; corsetry and hands obscure local axes.
31	1.5	?	?	partial	Black lace-up corset dress.	Narrow arms and torso support build; structured corset and tilted posture limit local axes.
32	2.5	?	?	partial	Black gathered blouse and skirt.	Moderately broad arms and trunk support build; gathered blouse and cropped hips obscure shape.
33	1.5	?	?	partial	Black ruffled blouse and skirt.	Narrow arms and upper torso support build; blouse gathering and hip crop obscure local axes.
34	1.5	?	?	partial	Black fitted vest and mini skirt.	Narrow arms and torso support build; tailored vest and hand on hip obscure local body contour.
35	2.5	?	?	partial	Black fitted vest and skirt.	Broader arms and torso support build; turn and tailored vest obscure local axes.
36	1.5	?	?	partial	Green stitched-pattern hooded dress.	Narrow visible thigh and trunk support build; leaning pose and long sweatshirt obscure local axes.
37	3	?	?	partial	Green stitched-pattern hoodie dress.	Broad visible thighs and trunk support build; loose hooded garment hides local shape.
38	2.5	?	?	partial	Black fitted long-sleeve top and trousers.	Moderately broad trunk and hips support build; crossed hands and turned shoulders obscure local axes.
39	2	?	?	partial	Black sheer shirt and trousers.	Moderate arms and trunk support build; turn and loose shirt obscure local comparison.
40	2	?	?	partial	Black sheer shirt and trousers.	Moderate torso and arms support build; draping shirt hides waist and hip boundary.
41	2.5	?	?	partial	Black fur-collar jacket and skirt.	Broader exposed legs and lower trunk support approximate build; jacket obscures torso shape.
42	?	?	?	partial	Black fur-collar jacket and fitted bottom.	Jacket hides arms and most trunk; turn and cropped lower body leave insufficient independent build evidence.
43	2.5	?	1	partial	Black lace top and trousers.	Broader arms and trunk with moderate waist indentation; lifted arms and loose hip fabric prevent balance.
