ordinal	view	build	shoulderHip	waist	evidence
0	reject	?	?	?	Pink checked shirt and tan trousers; repeated closer view of retained full outfit at 1.
1	full	2	?	?	Pink checked button-down with tan trousers and white sneakers. Moderate visible build; untucked shirt and walking stance obscure natural waist and hip boundaries.
2	reject	?	?	?	Blue button-down and black trousers; near-identical shirt/trouser styling variant with pocketed hands, no additional supported contours.
3	reject	?	?	?	Longer view of blue shirt variant at 2; repeats collared shirt/trouser family without new contour evidence.
4	reject	?	?	?	Green checked shirt and dark trousers; repeated shirt pattern/colorway family, cropped legs and no additional reliable contour evidence.
5	reject	?	?	?	Longer pocketed-hands view of green shirt variant; repeated styling family.
6	detail	?	?	?	Isolated floral shirt product, no wearer.
7	detail	?	?	?	Floral shirt fabric and button closeup, no outfit.
8	reject	?	?	?	Brown checked shirt and black trousers; repeated checked-shirt family, angled pocketed pose.
9	reject	?	?	?	Brown checked shirt with black trousers; enlarged reread confirms another colorway of retained shirt/trouser styling, without additional supported contour axes.
10	reject	?	?	?	White checked shirt upper-body crop; repeated shirt family without additional outfit or contour evidence.
11	reject	?	?	?	Longer white checked shirt and black trousers view; repeated colorway/pocketed pose without additional contour evidence.
