ordinal	view	build	shoulderHip	waist	presentation	evidence
0	partial	1.5	?	?	D	Printed sleeveless top and flared black skirt; hands cross torso and hips concealed.
1	seated	1.5	?	?	U	Graphic tee and boots on stool; spread seated legs and loose torso.
2	full	1.5	?	?	U	Blue long-sleeve top and shorts; walking diagonal pose and loose hem.
3	full	1.5	?	?	D	Pink cardigan and blue skirt; rotated torso and skirt conceal balance.
4	full	1.5	?	?	F	Tied floral blouse and fitted jeans; raised arm and strongly tilted hips.
5	full	1.5	?	?	U	Black top and fitted trousers; distant backlit figure and angled stance.
6	partial	1.5	?	?	D	Yellow coat over printed top and dark skirt; outerwear conceals torso.
7	full	?	?	?	U	Long pink coat and patterned tights; layered torso conceals build.
8	full	2	?	?	D	Navy sailor-style cropped top and pleated skirt; skirt conceals hips.
9	full	?	?	?	U	Voluminous pale furry coat and patterned trousers; torso obscured.
10	full	1.5	?	?	D	Color-block fitted dress and green heels; leaning seated-edge pose and glare.
11	full	1.5	?	?	D	Enlarged pink embellished fitted dress; structured bodice and hands conceal natural waist contour and hip comparison.
12	partial	1.5	?	?	U	White V-neck top with red layer tied at hips; raised arm and hidden hips.
13	seated	1.5	?	?	U	Black mesh-panel top and shorts; reclined pose prevents proportion comparison.
14	reject	?	?	?	D	Repeated pink cardigan and blue-skirt outfit already reviewed at collection ordinal 843.
15	partial	1.5	?	?	D	Pale sleeveless blouse and burgundy flared skirt; arms raised and hips concealed.
16	seated	1.5	?	?	D	Dark lace top and pale skirt at bench; seated pose and distant contours.
17	seated	1.5	?	?	U	Graphic tee and shorts; arms raised and seated hips.
18	partial	1.5	?	1	U	Fitted dark tee and denim shorts; visible waist taper, raised arms obscure shoulder comparison.
19	seated	1.5	?	?	U	Pale fitted top and dark shorts; kneeling side pose.
20	full	1.5	?	?	U	Pink long-sleeve top and denim shorts; side-on pose with arms extended.
21	full	1.5	?	?	F	Dark crop top, open patterned layer and denim shorts; tilted torso and crossed legs.
22	seated	1.5	?	?	F	Magenta sleeveless top, black shorts and heels; profile seated pose.
23	full	?	?	?	F	Long black coat and pointed heels; coat hides body proportions.
24	full	1.5	?	?	U	Dark jacket and narrow trousers at night; distant side-on silhouette.
25	full	1.5	?	?	D	Pink jacket and mini skirt over dark crop top; jacket conceals shoulders.
26	full	1.5	?	?	D	Dark patterned mini dress and boots; open jacket obscures shoulder comparison.
27	partial	1.5	?	?	U	Dark jacket and shorts beside buffet; arms and plate conceal torso.
28	back	?	?	?	D	Rear view of black jacket and skirt on balcony.
29	full	?	?	?	D	Furry coat over green top and navy skirt; coat obscures build and contours.
30	back	?	?	?	D	Rear view of dark tee and fitted skirt.
31	partial	1.5	?	?	U	Lavender zip hoodie; loose torso and hips cropped.
32	full	1.5	?	?	M	Red structured blazer, blue trousers and loafers; blazer defines waist artificially.
33	seated	1.5	?	?	U	Red graphic tee and shorts on rock; seated hips and bent legs.
34	full	1.5	?	?	D	Pale sleeveless top and black skirt; sideways pose and flared skirt.
35	reject	?	?	?	F	Repeated tied floral blouse and fitted-jeans outfit from collection ordinal 844.
36	full	1.5	?	?	D	Black sleeveless top and silver skirt with boots; skirt conceals hip contour.
37	partial	1.5	?	?	U	Olive top and long black sleeveless layer; lower body cropped and torso layered.
38	full	2	?	?	D	White loose dress with patterned open jacket and ankle boots; waist and hips hidden.
39	full	2	?	?	U	Blue floral sweater, thick scarf and flared jeans; knit hem and scarf hide contours.
40	full	1.5	?	?	F	Grey cropped sleeveless top and distressed jeans; walking pose, hips angled.
41	seated	1.5	?	?	U	Plaid-panel dark top and black trousers; seated forward pose.
42	full	1.5	?	?	U	White top and striped wide trousers; side walking pose and loose trouser drape.
43	full	?	?	?	D	Long navy coat over patterned dress; torso concealed by coat.
44	partial	1.5	?	1	D	Fitted red ribbed dress; visible moderate waist taper, both arms raised.
45	partial	1.5	?	?	D	Metallic strapless dress; rotated torso and hip crop.
46	full	1.5	?	1	D	Enlarged blue fitted one-shoulder dress; moderate visible waist taper, rotated torso and shifted hip prevent shoulder comparison.
47	full	1.5	?	?	F	Pale blouse, pink furry layer and distressed jeans; outer layer conceals torso.
