ordinal	build	shoulderHip	waist	view	clothing	evidence
1	1.5	?	?	partial	Black distressed tee and chain accessories.	Relatively narrow torso and upper hips support build; relaxed fabric and slight turn obscure local contours.
2	1.5	?	?	partial	Black grommet vest and red pleated lower garment.	Narrow upper trunk and exposed arms support build; turned pose and flared lower garment prevent local comparison.
3	3	?	?	partial	White blouse and black lace-up flared dress.	Broad trunk and visible thighs support fuller build; puffed shoulders, corset and lifted skirt obscure local axes.
4	3	?	?	partial	Black lace-up blouse and plaid skirt.	Broad torso supports fuller impression; loose sleeves and structured bodice obscure shoulders and waist.
5	?	?	?	partial	Oversized white zip hoodie.	Loose opaque garment hides trunk and hips; exposed hands alone do not establish build.
6	1.5	?	?	partial	Black graphic tee and gray shorts.	Visible upper legs, forearms and modest trunk width support build; loose tee and bent stance hide local contours.
7	1.5	?	?	partial	White graphic tee and chains.	Relatively narrow trunk with visible forearms supports approximate build; loose shirt and cropped hips hide local axes.
8	1.5	0	1	full	Gray short-sleeve cropped-leg jumpsuit.	Near-frontal torso and upper hips have similar widths with moderate indentation; visible arms support build.
9	3	?	?	partial	Mustard overshirt, white crop top and jeans.	Broad visible trunk and upper thighs support build; open jacket hides shoulder and side-waist boundaries.
10	3	?	?	seated	White tank and red shorts, kneeling.	Exposed trunk, arms and thighs support fuller build; raised arm and kneeling posture prevent stable local comparison.
11	?	?	?	reject	Printed bags and pouches.	Product-only image without a person.
12	?	?	?	detail	Pink-black striped trousers and sandals.	Lower-body crop excludes shoulders and nearly all torso; no overall build or local comparison assigned.
13	?	?	?	reject	Fruit-shaped textile accessories.	Product-only arrangement without a person.
14	3	?	?	partial	Cloud-print cropped tank and mustard trousers.	Broad trunk and exposed upper arms support build; gathered trousers and hands obscure hip and waist outline.
15	2.5	?	?	partial	Black floral shirt and olive trousers.	Broad upper trunk and visible arms support intermediate-fuller build; loose shirt and wide stance hide local contours.
16	?	?	?	seated	Striped shirt and dark trousers on sofa.	Reclined turned posture, loose shirt and crossed legs conceal a stable overall outline.
17	?	?	?	partial	Navy blazer and bright green trousers.	Structured jacket covers torso and hips; crop and oblique pose prevent reliable body assessment.
18	?	?	?	partial	Dark suit and bright pink tie in mirror.	Structured jacket, raised phone arm and cropped lower torso obscure body contours.
19	2	?	?	full	Navy blazer, striped tee and light shorts.	Visible torso and legs support intermediate impression; layered jacket and bent leg obscure local axes.
20	?	?	?	seated	Denim overshirt, striped tee and black trousers.	Forward lean and spread bent legs with layered torso obscure stable build and local widths.
21	3	?	?	partial	Open blue shirt over striped tee.	Broad visible trunk supports fuller build; shirt edges and cropped hips prevent local comparisons.
22	1.5	?	?	partial	Long black textured-trim coat over lace sleeves.	Narrow overall trunk with visible leg supports approximate build; coat structure obscures waist and hip widths.
23	?	?	?	partial	Black textured collar and open-knit sleeves.	Close crop and bulky trim obscure trunk extent and hips; build remains unknown.
24	1.5	?	?	partial	Gray corset over sheer black lace top.	Narrow torso and upper-hip impression supports approximate build; corset shaping invalidates waist and crop limits hip comparison.
25	1.5	?	?	partial	Strapless gray corset and matching skirt.	Exposed arms and narrow trunk support build; corset and shifted hip prevent unstructured local comparison.
26	1.5	?	?	partial	Black belted long coat with burgundy collar.	Slim overall trunk impression supports approximate build; belt, coat structure and side turn obscure local axes.
27	1.5	?	?	partial	Sheer floral dress and wide harness belt.	Visible arms, upper trunk and thigh support build; belt and flared skirt invalidate waist and hip comparison.
28	?	?	?	partial	Oversized charcoal zip hoodie and trousers.	Bulky dropped-shoulder hoodie hides torso outline; little exposed body evidence supports build.
29	1.5	?	?	partial	Black lace-up faux-leather top and pleated mini.	Visible upper trunk, arms and thighs support build; stiff bodice and pleated skirt conceal local contours.
30	2	?	?	partial	Burgundy ruched shirt and ruffled shorts.	Close torso and upper thighs support intermediate impression; ruched waist and ruffled hip layer prevent local labels.
31	?	?	?	partial	Oversized black shirt over plaid mini.	Shirt is pulled outward and conceals trunk and hips; visible hands alone are insufficient.
32	2	?	?	partial	Black shirt and red plaid ruffled mini.	Visible torso and thighs support intermediate build; turned posture and ruffles obscure local widths.
33	?	?	?	partial	Oversized red plaid shirt and dark trousers.	Dropped shoulders and loose shirt conceal torso extent and hips; overall build remains uncertain.
34	2	?	?	partial	Red plaid shirt and black slit mini.	Upper trunk and visible thighs support intermediate impression; shirt drape and tilted posture hide waist and hip comparison.
35	3	?	?	partial	Black crop tank and fitted shorts under open jacket.	Broad visible trunk and thighs support fuller build; open jacket and hand position hide side-waist and shoulders.
36	3	?	?	partial	Loose black button shirt and striped trousers.	Broad trunk impression supports fuller build; flared shirt and raised arm obscure local contours.
37	1.5	?	1	partial	Fitted black sleeveless short romper.	Narrow torso, arms and thighs support build with moderate visible indentation; three-quarter pose limits shoulder-hip comparison.
38	3	?	1	partial	Fitted black tank romper.	Broad torso, arms and thighs support fuller build; waist indentation visible, but raised arm changes shoulder alignment.
39	1.5	0	1	partial	Fitted long-sleeve black button-front romper.	Close torso and upper hips have similar frontal widths and moderate indentation; narrow limbs support build.
40	3	?	?	partial	Long black illustrated-eye cardigan over short dress.	Broad trunk and thighs support fuller impression; long loose cardigan hides waist and hips.
41	?	?	?	reject	Constellation-print textile accessory.	Product-only photograph without a person.
42	1.5	?	?	partial	Light olive short-sleeve shirt and white trousers.	Narrow trunk and exposed arms support build; loose untucked hem conceals waist and upper-hip relationship.
43	?	?	?	detail	Olive trousers, checked shirt hem and brown shoes.	Lower-body crop excludes upper trunk and shoulders; no whole-build or local-axis assignment.
44	3	?	?	partial	Olive short-sleeve button shirt and dark trousers.	Broad trunk and exposed upper arms support fuller build; oblique pose, crossed arms and loose hem obscure local axes.
45	1.5	?	?	partial	Gray button shirt and black trousers.	Narrow overall torso and upper thighs support build; loose shirt conceals side-waist and hip outline.
46	1.5	0	0	partial	Black-gray patterned polo and gray trousers.	Near-frontal close torso and upper hips show similar widths and little indentation; exposed arms support build.
47	1.5	?	?	full	Patterned cropped top and wide denim shorts.	Exposed narrow trunk and lower legs support build; turned posture and loose low-slung shorts hide hip relationship.
48	?	?	?	detail	Pink top hem over long plaid skirt.	Crop excludes shoulders and nearly all torso; skirt obscures lower-body contours.
49	1.5	?	?	partial	Black dotted top, denim mini and mustard tights.	Narrow visible torso and legs support build; stiff skirt and offset stance conceal local hip relationship.
50	?	?	?	detail	Close-up of dotted top hem and denim waistband.	Small fabric detail excludes body extent and all comparative landmarks.
51	?	?	?	seated	Navy flower sweater, jeans and rain boots.	Reclined pose, raised arm and oversized knit obscure trunk and hip contours.
52	?	?	?	partial	Navy flower sweater and wide dark jeans.	Loose sweater and wide trousers hide the body outline; no numeric axis supported.
53	1.5	?	?	partial	Red-black patterned cardigan over mesh neckline.	Relatively narrow upper trunk and upper-hip impression support build; cardigan drape obscures local contours.
54	?	?	?	partial	Long black coat over mesh top.	Long structured coat conceals torso and hips; narrow garment silhouette alone does not establish build.
55	?	?	?	detail	Mesh neckline and embroidered black coat lapel.	Close neckline crop omits trunk extent, waist and hips.
56	2.5	?	?	partial	Black fern-print lace tee and dark jeans.	Broad upper trunk and visible upper arms support intermediate-fuller build; loose tee conceals waist and shoulders.
57	?	?	?	partial	Close view of black fern-print lace tee.	Upper-body crop excludes waist and hips; loose sleeves and torso prevent reliable overall assessment.
58	?	?	?	partial	Black botanical button shirt.	Oblique tight torso crop and draped shirt obscure overall extent and local comparison.
59	2	?	?	partial	White ruffled crop top and tiered mini.	Visible arms, trunk breadth and thighs support intermediate build; ruffles and leaning posture obscure local axes.
60	1.5	?	?	partial	Black gathered short dress.	Visible arms, upper trunk and thighs support build; gathered bodice and held-out skirt hide local contours.
61	1.5	?	?	seated	Black ruffled dress while perched on bench.	Narrow visible upper trunk and arms support approximate build; seated stance and draped skirt obscure waist and hips.
62	2	?	?	partial	Pastel patterned shirt and light blue bib shorts.	Visible torso breadth, forearms and thighs support intermediate build; bib and puff sleeves obscure local contours.
63	?	?	?	detail	Black cargo trousers and boots.	Lower-body crop excludes shoulders and upper trunk; no overall build inferred from legs alone.
64	?	?	?	partial	Burgundy fitted-waist long coat.	Structured shoulders and flared coat create garment contours; underlying body breadth remains uncertain.
65	?	?	?	partial	Olive floral embroidered tunic and trousers.	Oversized tunic conceals trunk and hips; exposed forearms alone cannot support build.
66	?	?	?	partial	Olive floral cardigan and patterned trousers.	Oblique view and loose cardigan obscure overall trunk boundaries and local proportions.
67	1.5	?	?	partial	Lavender heart-pocket flared coat and white stockings.	Relatively narrow upper trunk and visible thighs support approximate build; structured coat and held skirt conceal local contours.
68	3	?	?	partial	Lavender heart-pocket flared coat.	Broad upper trunk and visible thighs support fuller build; structured sleeves and flared coat obscure local proportions.
69	1.5	?	?	partial	Pink heart-print corset over flared pink mini.	Visible arms and narrow upper trunk support build; corset and flared skirt invalidate local body comparisons.
