ordinal	view	build	shoulderHip	waist	evidence
0	partial	?	?	?	Olive collared utility jacket and light trousers; thigh crop and structured layer obscure contours.
1	reject	?	?	?	Side pose repeats the utility jacket outfit at ordinal 0.
2	reject	?	?	?	Brown colorway repeats the utility jacket and trouser construction at ordinal 0.
3	back	?	?	?	Rear utility jacket view.
4	partial	2	?	?	Ochre single-pocket collared shirt with denim; average apparent build, loose hem and pocket hand obscure waist and hip comparison; enlarged reread.
5	reject	?	?	?	Side pose repeats ordinal 4 shirt and denim.
6	reject	?	?	?	Beige colorway repeats ordinal 4 collared-shirt and denim ensemble.
7	back	?	?	?	Rear shirt and denim view.
8	reject	?	?	?	Burgundy colorway repeats the collared-shirt and denim ensemble at ordinal 4.
9	reject	?	?	?	Side pose of the same shirt colorway.
10	partial	1.5	?	?	Brown hoodie and denim, relatively narrow apparent build; roomy torso and thigh crop conceal comparable waist and hips; neutral basics.
11	back	?	?	?	Rear hoodie view.
12	reject	?	?	?	Dotted burgundy overalls repeat the loose overall construction already represented in prior Copper Union comparison images 19 and 20.
13	reject	?	?	?	Repeated front pose of ordinal 12 overalls.
14	full	3	?	?	Checker tied top over red skirt with dark shoes; fuller apparent build; oblique stance, tie and skirt conceal waist and hip proportions; enlarged reread.
15	back	?	?	?	Rear view of checker top and red skirt.
16	reject	?	?	?	Seated reversed wrap styling of the checker top and red skirt already retained at ordinal 14.
17	reject	?	?	?	Further seated pose of the checker top and red skirt.
18	reject	?	?	?	Purple wrap-top and black-skirt colorway repeats the wrap-top/skirt outfit structure; retain checker ensemble instead.
19	reject	?	?	?	Two-person group photo.
20	full	3	?	?	Black and gold striped dress with dark shoes; fuller apparent build; raised skirt, elevated camera and angled stance conceal waist and hip comparison.
21	reject	?	?	?	Two-person group photo.
22	reject	?	?	?	Raised-skirt pose repeats the sheer embroidered dress retained at ordinal 23.
23	full	3	?	?	Sheer embroidered gathered dress over dark base and leggings with contrast shoes; fuller apparent build; gathered fabric and asymmetric arm conceal contours; enlarged reread.
