ordinal	view	build	shoulderHip	waist	evidence
0	detail	?	?	?	Unworn olive hooded shell; no body.
1	partial	?	?	?	Side-facing hooded olive shell with dark trousers; bulky layer and side pose hide all contour axes. Neutral outdoor styling.
2	detail	?	?	?	Unworn black quilted vest; no body.
3	detail	?	?	?	Unworn navy cardigan; no body.
4	full	1.5	?	?	Front standing navy cardigan with tucked white tee, olive utility trousers, cap and boots; masculine workwear ensemble. Enlarged image supports lean apparent build; open outer layer and pockets obscure shoulder-to-hip and waist contours.
5	detail	?	?	?	Unworn patterned sweater; no body.
6	detail	?	?	?	Side sweater-detail crop with folded arms and little lower outfit visible.
7	detail	?	?	?	Unworn navy sweater; no body.
8	detail	?	?	?	Tight upper-body sweater crop with crossed arms; lower ensemble absent.
9	detail	?	?	?	Unworn black trousers; no body.
10	detail	?	?	?	Unworn burgundy sweater; no body.
11	detail	?	?	?	Close seated sweater portrait; lower outfit largely outside frame.
12	reject	?	?	?	Loose blue crewneck and dark trouser crop adds a color variation to the basic crewneck ensemble retained at 14; no contour gain.
13	reject	?	?	?	Alternate leaning pose of blue sweater ensemble at 12.
14	partial	2.5	?	?	Brown crewneck and blue jeans front view; fuller apparent build visible on enlarged torso. Dropped shoulders and loose ribbed hem prevent shoulder/hip and waist observations. Neutral styling.
15	reject	?	?	?	Closer alternate crop of brown crewneck ensemble at 14.
16	detail	?	?	?	Head and shoulder closeup of knit cap and cardigan; lower ensemble absent.
17	detail	?	?	?	Unworn knit cap on rock; no body.
18	detail	?	?	?	Close chest-up teal cardigan portrait; hips and lower outfit absent.
19	back	?	?	?	Rear-side cardigan view; torso front not visible.
20	reject	?	?	?	Cardigan and jeans colorway repeats prior Free Label cardigan/jeans reference; loose layer adds no contour evidence.
21	detail	?	?	?	Cardigan button and hand closeup.
22	seated	?	?	?	Olive loose tee and wide trousers with light high-top shoes; neutral coordinated outfit. Seated posture and loose garments hide body contours.
23	reject	?	?	?	Alternate seated pose of same olive ensemble at 22.
24	partial	2.5	?	?	Black cropped tank and fitted leggings with bare feet; neutral athleisure. Enlarged view supports fuller build, but leaning hip and bent knee prevent reliable shoulder/hip and waist assessment.
25	reject	?	?	?	Side pose of same black athleisure ensemble at 24.
