ordinal	view	build	shoulderHip	waist	evidence
0	full	?	?	?	Sheer mint polka-dot gathered dress with pink sandals and checked socks; voluminous dress obscures body proportions.
1	reject	?	?	?	Same mint dress and pink footwear as ordinal 0, turned alternate pose.
2	reject	?	?	?	Pink colorway of the same gathered polka-dot dress and pink footwear; excluded repeated ensemble.
3	reject	?	?	?	Repeated pink dress ensemble and alternate pose.
4	full	?	?	?	Mint sheer ruffled tunic over dark wide trousers, checked socks and red Mary Jane shoes; enlarged original shows billowing layers and angled stance conceal contours.
5	reject	?	?	?	Same mint tunic, dark trousers and red shoes as ordinal 4, alternate raised-arm pose.
6	full	?	?	?	Pink sheer ruffled tunic with white polka-dot skirt, checked socks, pointed shoes and beret; layered flared construction conceals body axes.
7	reject	?	?	?	Repeated ruffled tunic and polka-dot skirt styling with minor color and shoe variation; no distinct contour evidence.
8	reject	?	?	?	Cropped alternate view of blue heart-print shirt and pink polka-dot trousers; fuller view retained at ordinal 9.
9	full	2.5	?	?	Blue heart-print short-sleeve shirt, pink polka-dot loose trousers and pale sneakers; enlarged original shows held-out hem and balloon trousers obscure waist and hip comparison.
10	partial	?	?	?	Split mint and pink polka-dot shirt over brown sheer polka-dot skirt with pink beret; raised arm and loose shirt prevent body judgments.
11	back	?	?	?	Rear view of split polka-dot shirt and skirt.
