ordinal	view	build	shoulderHip	waist	evidence
0	partial	1.5	?	?	Green hoodie and matching shorts; lean visible thighs and forearm, loose sweatshirt conceals torso contours. Neutral ensemble.
1	reject	?	?	?	Ocean and pier scenery without an outfit.
2	detail	?	?	?	Isolated jeans product photograph.
3	detail	?	?	?	Denim hem fabric closeup.
4	partial	1.5	?	?	Open pale overshirt with knotted white tee and navy shorts; enlarged original supports lean limbs, tilted stance and open layer prevent reliable shoulder and waist comparisons.
5	reject	?	?	?	Ocean scenery without an outfit.
6	partial	1.5	?	?	Open plaid shirt over gray tee and denim shorts; lean visible legs, side stance and loose layers hide contour axes. Neutral casual ensemble.
7	back	?	?	?	Rear view of plaid shirt ensemble.
8	full	1.5	?	?	Pale utility shirt, cuffed dark jeans and work boots; enlarged original supports lean forearms and frame, untucked loose shirt conceals waist and hip boundaries.
9	detail	?	?	?	Rear trouser and boot crop, upper outfit absent.
10	full	1.5	?	?	Black sleeveless top and leggings with sneakers; lean limbs, side-facing stance prevents shoulder-hip comparison and reliable frontal waist assessment. Neutral activewear.
11	back	?	?	?	Rear leggings view.
12	partial	1.5	?	?	Leopard-print gathered short dress and black boots; lean limbs, flared skirt and gathered waist conceal underlying contours.
13	reject	?	?	?	Alternate side pose of the dress at 12.
14	reject	?	?	?	Red print variant of the same gathered short-dress styling at 12, no independent contour gain.
15	reject	?	?	?	Repeated red dress pose from 14.
16	full	1.5	?	?	Leopard utility jumpsuit and metallic pointed heeled boots; enlarged original supports lean arms, hands in pockets and loose trouser cut obscure hip and waist boundaries. Utility construction combined with feminine boot styling.
17	reject	?	?	?	Alternate pose of the jumpsuit at 16.
18	detail	?	?	?	Waist-down trouser detail; prefer the complete ensemble at 19.
19	full	2	?	?	Black tank, red patterned wide trousers and red heeled boots; enlarged original supports moderate visible arm and torso build, side stance and wide trousers conceal frontal proportions.
20	partial	1.5	?	?	Green patterned collared shirt with distressed gray jeans; lean arms, partial lower crop and loose shirt conceal contours. Neutral visible styling.
21	back	?	?	?	Rear view of patterned shirt and jeans.
22	full	2	?	?	Leopard collared flared dress, red jacket carried on shoulder and colorful heeled boots; enlarged original supports moderate limbs, lifted skirt and posed torso prevent contour judgments.
23	reject	?	?	?	Alternate studio styling of the same collared leopard dress at 22; repeated garment view without new contour evidence.
