ordinal	view	build	shoulderHip	waist	evidence
0	detail	?	?	?	Flat bundled shirts; no outfit.
1	reject	?	?	?	Plain tee and jeans repeat the preceding Strongsize tee colorways; excluded after prior-admission comparison.
2	detail	?	?	?	Flat long-sleeve shirt bundle; no outfit.
3	partial	3	?	?	Black long-sleeve crewneck with jeans; fuller visible torso. Oblique stance and long hem obscure shoulder-hip and waist contours; original enlarged.
4	detail	?	?	?	Flat hoodie bundle; no outfit.
5	partial	3	?	?	Gray long-sleeve hooded knit with distressed jeans by water; fuller visible torso. Relaxed hem and pocket hand obscure contours; original enlarged.
6	detail	?	?	?	Flat hoodie bundle; no outfit.
7	detail	?	?	?	Flat hoodie bundle; no outfit.
8	reject	?	?	?	Another colorway of the long-sleeve hooded knit ensemble retained at 5; no new outfit construction.
9	reject	?	?	?	Closer crop of gray wrap-top ensemble retained at 10.
10	partial	2.5	?	?	Gray wrap top with belted black pleated trousers. Moderately fuller visible build; oblique pose, belt and pleated hips obscure other axes; original enlarged.
11	reject	?	?	?	Burgundy colorway of wrap top and black belted trousers retained at 10.
12	reject	?	?	?	Repeated burgundy wrap-top pose; excluded with colorway at 11.
13	detail	?	?	?	Shoulderless close garment crop; no sufficient outfit framing.
14	reject	?	?	?	Navy colorway of wrap-top and belted trouser ensemble; raised arm adds no independent outfit.
15	reject	?	?	?	Black colorway of retained wrap-top and trouser ensemble.
16	reject	?	?	?	Repeated black wrap-top ensemble pose.
17	full	1.5	?	?	Brown wrap midi dress with black heeled boots; relatively slender visible build. Tilt, crossed legs and gathered wrap waist prevent confident contour axes; original enlarged.
18	reject	?	?	?	Close crop of brown dress ensemble retained at 17.
19	reject	?	?	?	Printed colorway of wrap midi dress and boot ensemble at 17.
20	reject	?	?	?	Repeated printed wrap-dress ensemble; excluded with 19.
