ordinal	view	build	shoulderHip	waist	evidence
0	detail	?	?	?	Flat green cardigan product; no wearer.
1	full	1.5	?	?	Green cardigan over light tee, olive trousers and tan boots; relatively narrow apparent build; open knit layer, pocket hands and crossed stance obscure contours; neutral ensemble.
2	detail	?	?	?	Flat cream textured sweater product; no wearer.
3	full	1.5	?	?	Cream textured sweater, denim and brown boots; relatively narrow apparent build; crossed arms and angled stance obscure waist and shoulder comparison; neutral basics.
4	detail	?	?	?	Flat green crewneck product; no wearer.
5	seated	?	?	?	Green knit over blue work shirt with tan trousers and work boots; collared workwear styling; seated forward lean and thick layers obscure body proportions; enlarged reread.
6	detail	?	?	?	Flat striped sweater product; no wearer.
7	full	1.5	?	?	Dark striped knit with gray pleated trousers and black shoes; relatively narrow apparent build; pocket hands, loose trousers and oblique stance conceal waist and hip comparison; enlarged reread; neutral ensemble.
8	detail	?	?	?	Flat gray crewneck product; no wearer.
9	reject	?	?	?	Gray crewneck and dark trousers repeat the basic knit and trouser styling already retained; colorway and pose do not add a distinct outfit construction.
10	detail	?	?	?	Flat red crewneck product; no wearer.
11	reject	?	?	?	Red crewneck and tan trousers repeat the basic knit and trouser ensemble; colorway variation excluded.
